# --- 1.0: Разговор насчёт следующего фильма в студии

	10.aa.0@101@t-mk-1@Привет, Макс. Кажется, пришло время кое-что обсудить. У тебя есть время?|Hi, Max. Hast du Zeit, unseren nächsten Film zu diskutieren?
	10.ba.10@4@a-alisasleep-9@<i>Я балдею от своей сестрёнки! Просто набросилась на меня и требует, чтобы я её оттрахал. Да легко! Хотя... Кажется, я вот-вот кончу!</i>|<i>Beste Schwester aller Zeiten! Sie ist über mich hergefallen und jetzt verlangt sie von mir, dass ich sie ficke. Langsam! Ich glaube, ich bin nah dran....</i>
		10.ba.11^		<i>кончить на её попку</i>|<i>spritze Alice auf ihren Arsch</i>

	10.ba.11@23@a-alisasleep-10@Макс? Уже?! Блин... Ладно, вытирай всё и иди в свою комнату, а я в душ. В следующий раз постарайся лучше...|Max? Jetzt schon!? Mist...... Gut, mach alles sauber und geh auf dein Zimmer, ich gehe unter die Dusche. Mach es nächstes Mal besser.
		leave!set_dcd.spi_3!set_alis_3^		Ладно...|Okay

	10.ba.12@4@a-alisasleep-1@<i>О да... Какая же классная! Столько энергии и страсти! О да, сестрёнка...</i>|<i>Sie ist so toll! So viel Leidenschaft! Ja, Schwester....</i>
		10.ba.13^		<i>далее</i>|<i>fortfahren</i>

	10.ba.13@3@a-alisasleep-2@<i>Интересно, а если я опять в неё кончу, она же не разозлится снова? Ох, как она двигается... Кажется, мы скоро узнаем...</i>|<i>Ich frage mich, wie sauer sie wird, wenn ich wieder reinkomme.... Vielleicht finden wir es bald heraus....</i>
		10.ba.15^		<i>сменить позу</i>|<i>Position wechseln</i>
		10.ba.14^		<i>кончить!</i>|<i>spritzen!</i>

	10.ba.14@25@a-alisasleep-1b@Макс? Опять?! Ну я же просила в меня не кончать! Я же могу залететь... Ладно, чёрт с тобой... Я в душ... И это, мне понравилось, если что...|Schon wieder, Max!? Ich habe dir gesagt, du sollst nicht reinkommen! Idiot.... Ich gehe unter die Dusche, gehe auf dein Zimmer.... Aber ich hatte eine gute Zeit....
		leave^			Мне тоже... <i>(идти спать)</i>|Ich auch <i>(schlafen gehen)</i>

	10.ba.15@21@a-alisasleep-5@Да, Макс... Мне нравится... Давай быстрее, ещё... ещё!|Ja, Max.... So gut.... Schneller, Max! Ja, ja....
		10.ba.16^		<i>трахать сестрёнку</i>|<i>fick Alice</i>

	10.ba.16@25@a-alisasleep-6@Быстрее... Ещё быстрее! Оттрахай меня как последнюю сучку!|Schneller! Schneller! Fick mich wie eine Hure!
		10.ba.17^		Как скажешь, сестрёнка!|Was immer du sagst, Schwester!

	10.ba.17@31@a-alisasleep-8@Да, так... Глубже! Быстрее! Ещё!!!|Ja, ich brauche es... teifer, schneller! Härter, mehr!!!
		10.ba.18^		<i>ускориться</i>|<i>fick schneller</i>

	10.ba.18@4@a-alisasleep-9@<i>Ох, я уже сам не могу сдерживаться... Ещё чуть-чуть и я кончу... Да, лучше на попку, а то ворчать будет...</i>|<i>Ich kann nicht mehr warten.... Fast fertig.... Ich sollte aber nicht in ihr kommen.</i>
		10.ba.19^		<i>кончить на её попку</i>|<i>spritze auf ihren Arsch</i>

	10.ba.19@33@a-alisasleep-10@Ох, Макс... Вот это я понимаю, оттрахал, что ноги уже не ходят... Я даже кончила... Даже почти два раза. Спасибо... Всё, я сейчас приду в себя и в душ... А ты бегом к себе!|Wow, Max.... Nun, das war ein richtiger verdammter.... Ich werde eine Woche lang nicht geradeaus laufen können.... Ich kam, und dann kam ich fast ein zweites Mal.... Danke.... Ich gehe unter die Dusche.... nach einer Pause.... Du solltest auf dein Zimmer gehen.
		leave^			Аг?...|Ja ja
	10.ba.20@21@a-alisasleep-5@Макс, ну давай уже, трахни меня! Быстрее!|Komm schon, Max, fick mich endlich! Schneller!
		10.ba.21^		Как скажешь!|<i>ficke Alice</i>

	10.ba.21@25@a-alisasleep-6@Ещё быстрее! Трахай меня как последнюю шлюху! Быстрее!!!|Schneller! Fick mich wie eine Hure! Schneller!!!!
		10.ba.22^		Ого...|Wow!

	10.ba.22@4@a-alisasleep-8@<i>Сегодня Алиса в ударе! Ну что же, сейчас ты получишь всё, чего просишь...</i>|<i>Alice ist heute so geil! Mach dich bereit, Alice, du wirst es jetzt wirklich schaffen!</i>
		10.ba.23^		<i>трахать Алису быстрее</i>|<i>ficke Alice so schnell du kannst</i>

	10.ba.23@21@a-alisasleep-9@Макс, давай сменим позу. Ложись... И ни слова! Да, и не вздумай в меня кончать, понял?|Ändern wir die Position, Max. Leg dich hin und sei still! Und denk nicht mal daran, in mir zukommen!
		10.ba.24^		Понял...|Okay

	10.ba.24@4@a-alisasleep-1@<i>Ох, ненасытная... Как она двигается! Ещё чуть-чуть и я не выдержу... </i>|<i>Sie ist unersättlich.... Ich werde nicht lange warten können, wenn sie so weitermacht!</i>
		10.ba.25^		<i>далее</i>|<i>fortfahren</i>

	10.ba.25@6@a-alisasleep-3@<i>Хм, показалось, что кто-то на балконе... Оттуда же только я наблюдаю, верно?</i>|<i>Ist da jemand auf dem Balkon?</i>
		10.ba.26^		<i>присмотреться</i>|<i>genau hinschauen</i>

	10.ba.26@4@a-alisasleep-4@<i>Обалдеть! Лиза и правда пришла посмотреть на нас с Алисой! Лишь бы её не заметила Алиса...</i>|<i>Ich kann nicht glauben, dass Lisa tatsächlich gekommen ist, um uns zu zusehen! Ich hoffe, Alice wird sie nicht bemerken....</i>
		10.ba.27^		<i>далее</i>|<i>fortfahren</i>

	10.ba.27@20@a-alisasleep-2@Макс! Куда ты там смотришь? Есть что-то интереснее? Тебе не нравится?!|Wo guckst du hin, Max? Warum bist du abgelenkt, magst du nicht, was direkt vor dir liegt?
		10.ba.28^		Ты что, всё просто супер! Продолжаем!|Nein, alles ist toll! Ich habe nirgendwo hingeschaut!

	10.ba.28@24@a-alisasleep-7@Что? Кто там? Лиза, ты?! Ты за нами подглядываешь?! Входи в комнату, быстро!|Was? Wer ist da? Lisa!? Hast du uns beobachtet? Geh sofort in dein Zimmer!
		10.ba.29^		Эх...|Mist....

	10.ba.29@46@a-alisasleep-11@Ну... Мне просто стало интересно, почему Макса нет так долго. Вроде же паука убить - дело одно минуты...|Ich war neugierig, was so lange dauerte. Eine Spinne zu töten sollte nicht lange dauern....
		10.ba.30^		<i>молчать</i>|<i>sei ruhigt</i>

	10.ba.30@32@Блин, Лиза... И долго ты там стояла? Всё видела? Постой, Макс. Так ты Лизу заметил и ничего не сказал?!|Scheiße.... Wie lange hast du da gestanden? Wie viel hast du gesehen....? Warte, Max, du hast gesehen, wie sie uns beobachtet hat! Warum hast du nichts gesagt?
		10.ba.31a^		Да что тут такого...|Was ist daran so schlimm?
		10.ba.31b^		Нет, я её не видел...|Ich habe sie nicht gesehen.

	10.ba.31a@23@Что тут такого? Ты шутишь? Мы трахаемся на её глазах и ты не против?!|Ist das dein Ernst? Wir ficken vor ihr und du hast kein Problem damit?
		10.ba.31^		Ну да, не против. Чего она не видела?|Nichts, was sie nicht schon mal gesehen hat.

	10.ba.31b@26@Ага. Ты всё время пялился куда-то на балкон, я же видела!|Ich habe dich auf den Balkon starren sehen!
		10.ba.31^		Ну подумаешь... что такого...|Schön, was ist schon dabei?

	10.ba.31@22@И часто ты за нами так наблюдаешь? Не вздумай врать!|Wie oft schaust du uns an!
		10.ba.32^		<i>далее</i>|<i>fortfahren</i>

	10.ba.32@41@Да я в первый раз вот вышла и вы сразу меня заметили. И, вообще, почему это я должна оправдываться? Не я тут прыгаю на члене своего брата!|Es war das erste Mal und du hast mich sofort erwischt. Und warum muss ich mich überhaupt rechtfertigen? Ich bin nicht derjenige, der hier den Schwanz meines Bruders reitet!
		10.ba.33^		<i>далее</i>|<i>fortfahren</i>

	10.ba.33@28@Так, Лиза. Ты ничего не видела. Поняла? И ничего никому не скажешь. А то я тоже расскажу про эти ваши уроки с тётей Кирой!|Du hast nichts gesehen, Lisa! Du sagst niemandem ein Wort, oder ich erzähle von deinem Unterricht bei Tante Kira.
		10.ba.34^		Блин...|Mist....

	10.ba.34@32@А вообще, Макс, это ты во всём виноват! Совратил и меня и Лизу. Что у тебя в голове не понятно... хотя, нет. Это как раз и понятно...|Es ist sowieso alles Max' Schuld! Er ist derjenige, der Lisa und mich verführt. Was hast du dir nur dabei gedacht.... Warte, ich kenne die Antwort darauf.
