# --- 0.7: Диалог с Кирой насчёт прогресса по маме

	07.abc.0.init@0@Ну, как с мамой спится?|Also, wie ist es, mit Mom zu schlafen?
		07.abq.15^		Что? Молодая актриса?|Was? Junge Darstellerin?

	07.abq.14@68@Молодая актриса? Для чего?|Für Was?
		07.abq.15^		<i>далее</i>|<i>fortfahren</i>

	07.abq.15@114@Ну если вы будете изображать семью, будет идеально, если ещё и дочь будет. Я по возрасту не очень подхожу, поэтому...|Wenn du eine Familie spielen willst, wäre es sinnvoll, auch eine Tochter zu haben. Ich kann keine spielen, also....
		07.abq.16^		У меня есть идея...|Ich habe eine Idee....
		07.abq.16^		У меня есть парочка вариантов...|Ich habe ein paar Alternativen....

	07.abq.16@62@Макс, даже не вздумай произносить это вслух!|Wage es nicht, es laut auszusprechen, Max!
		07.abq.17^		Хорошо, мам...|Schön, schön

	07.abq.17@69@Ладно, ищи свою актрису. Если будут платить такие деньги, то все наши финансовые проблемы будут решены. Придётся смириться и делать что необходимо. В конце концов, счастье и будущее детей важнее...|Okay, such nach deiner Schauspielerin. Wenn sie weiter so viel Geld zahlen, haben wir keine finanziellen Probleme mehr. Ich schätze, ich muss mich damit abfinden und die Familie an die erste Stelle setzen....
		07.abq.18^		<i>далее</i>|<i>fortfahren</i>

	07.abq.18@114@Хорошо, договорились! Когда будут какие-то новости, я обязательно вам всё расскажу!|Deal. Ich sag's dir, wenn ich was Neues höre.
		leave!set_poss.car_9!set_momlust_18!set_dcd.momlust_1^			Ага...|Ja ja...



# --- 0.7: Диалог с Кирой после разговора втроём у бассейна насчёт будущих съёмок

	07.abr.0.init@0@Ты маме свою долю отдала?|Hast du Mom ihren Anteil schon gegeben?
	07.abr.0@103@Ну... да. Зато смотри, как у неё глаза загорелись!|Ja. Hast du ihre Augen gesehen, als sie hörte, wie viel sie verdient hat?
		07.abr.1^		А ты работала бесплатно...|Und du hast nichts bekommen....

	07.abr.1@104@Почему бесплатно? Я получила всё, чего хотела... И твою маму и тебя и будущие роли...|Nein, ich habe bekommen, was ich wollte. Deine Mom, du, zukünftige Filme....
		07.abr.2^		Какая ты коварная...|Schlau....

	07.abr.2@114@Ага, я такая... Но все же довольны? К тому же, я не только о себе думала. Теперь и финансовый вопрос будет решён и тебе не скучно. Конечно, если твоя мама не откажется. Но что-то мне подсказывает, что она сама скоро будет инициатором съёмок...|Das bin ich. Alle sind glücklich, niemand ist verletzt, kein Schaden, kein Nachteil. Wir haben Geld in der Familie und du solltest Spaß haben. Solange deine Mom sich nicht zurückzieht. Aber ich denke, sie wird bald nach weiteren Aufnahmen fragen....
		07.abr.3^		Может быть...|Vielleicht...

	07.abr.3@101@А что насчёт тебя?|Was ist mit dir?
		07.abr.4^		А что насчёт меня?|Was ist mit mir?

	07.abr.4@113@Ты планируешь этим заниматься профессионально или так, от раза к разу?|Du willst das professionell machen?
		07.abr.5^		Я бы не хотел что-то пропустить!|Würde ich um nichts in der Welt verpassen!

	07.abr.5@103@Имеешь в виду, съёмки в порно со своей мамой? Понимаю... Ладно, не пропустишь. Постараюсь для тебя тоже выбить какие-то условия. К тому же, всё при тебе и по возрасту идеально вписываешься...|Du meinst Dreharbeiten mit deiner Mom? Ja.... Keine Sorge, das wirst du nicht. Ich werde auch versuchen, dir etwas zu besorgen. Vor allem, da du ein perfektes Alter für den Job hast. Und noch etwas anderes....
		07.abr.6^		Спасибо...|Danke

	07.abr.6@112@Я правильно понимаю, что ты хотел предложить на роль молодой актрисы кого-то из своих сестёр?|Also, habe ich Recht, wenn ich annehme, dass du eine deiner Schwestern als Schauspielerin vorschlagen wolltest?
		07.abr.7a^		Что ты!|Was? Nein...
		07.abr.7b^		Ага, Алису...|Ja, Alice
		07.abr.7c^		Лизу...|Lisa

	07.abr.7a@114@Что-то я сомневаюсь, что сейчас ты искренен... Ну а если бы пришлось выбирать, то кто бы подошёл лучше всего, как считаешь?|Ri-i-i-ichtig. Ernsthaft, wer wäre deiner Meinung nach am besten für diesen Job geeignet?
		07.abr.7b^		Думаю, Алиса!|Alice!
		07.abr.7c^		Конечно, Лиза!|Lisa!

	07.abr.7b@103@Алиса? Может быть, ты и прав. Она идеально подошла бы на роль старшей сестры, которая не даёт тебе покоя...|Alice? Vielleicht hast du Recht. Sie ist eine perfekte ältere Schwester, die dich die ganze Zeit herumkommandiert.
		07.abr.7!set_pactres_1^		Блин, как в жизни!|Wie im richtigen Leben!

	07.abr.7c@103@Лиза? А она не слишком мала для... Хотя, что я говорю. Ну да, может быть, ты и прав... Она могла бы справиться...|Lisa? Ist sie nicht zu jung.... Warte, was sage ich da. Ja, sie wäre perfekt. Ich bin sicher, sie könnte es tun.
		07.abr.7!set_pactres_2^		Ну да, могла бы, уверен|Ich bin sicher, das könnte sie!

	07.abr.7@113@Вот именно! Правда, я сомневаюсь, что твоя мама допустит такое развитие событий... Ладно, к этому вопросу мы ещё вернёмся... в своё время.|Genau! Ich bezweifle, dass deine Mom bei so etwas je zustimmen würde.... Wir kommen später darauf zurück. Irgendwann.
		leave!set_poss.car_10!set_momlust_19!set_dcd.momlust_3!set_dcd.kow_2!set_kow_1^		Хорошо!|Okay!



# --- 0.7: ответвление в эвенте с блогом Алисы

	07.aca.0@21@Очень жаль... А ведь я уже такая мокрая... Боюсь, что уже не выдержку и начну делать такое... Но иди, раз у тебя работа... Может быть, я достанусь другому благодарному зрителю...|Schade, ich bin gerade so nass.... Ich fürchte, ich kann nicht mehr warten.... Aber wenn du gehen musst.... Vielleicht schätzt mich ein anderer dankbarer Zuschauer....
		07.aca.1^		В другой раз я оплачу всё! Извини...|Nächstes Mal bezahle ich alles! Es tut mir leid....

	07.aca.1@4@<i>Мне кажется, что это идеальный момент, чтобы подловить Алису на горячем! Интересно, как она будет оправдываться?</i>|<i>Ich denke, das ist eine gute Gelegenheit, Alice beim Fotografieren zu erwischen! Was sie wohl sagen wird?</i>
		07.aca.2^		<i>идти в её комнату</i>|<i>in den Raum gehen</i>
		leave!time^		<i>зако?чить</i>|<i>beenden</i>

	07.aca.2@2@loc-25@<i>Так... Ну, если я войду, то либо получу, либо... Хм. Войти или нет?</i>|<i>Also, wenn ich eintrete, bekomme ich entweder Ärger oder vielleicht auch .... Soll ich eintreten?</i>
		07.aca.3^		<i>открыть дверь</i>|<i>Tür öffnen</i>
		07.aca.3b^		<i>посту?аться</i>|<i>anklopfen</i>
		leave!time^		<i>вернуться в свою комнату</i>|<i>zurück in dein Zimmer gehen</i>

	07.aca.3b@121@<b>Алиса:</b> Кто там? Я сейчас занята. Не входите!|<b>Alice:</b> Wer ist da? Ich bin beschäftigt. Nicht reinkommen!
		07.aca.3c^		Это я, Макс!|Ich bin's, Max!
		leave!time^		<i>вернуться в свою комнату</i>|<i>verlassen</i>

	07.aca.3c@121@<b>Алиса:</b> Макс! Ты глухой? Я сказала, что занята! Не вздумай входить!|<b>Alice:</b> Max? Bist du taub? Ich sagte doch, ich bin beschäftigt! Denk nicht mal dran, rein zukommen!
		07.aca.3d^		<i>всё равно войти</i>|<i>trotzdem eintreten</i>

	07.aca.3d@23@p-blog-2@Макс?! Ты охренел?! Я же сказала, чтобы ты не входил!|Max!? Hast du den Verstand verloren? Ich hab dir gesagt, du sollst nicht reinkommen!
		07.aca.5^		Работаешь, значит...|Arbeit, huh...

	07.aca.3@4@p-blog-1@<i>Ого! Кажется, Алиса меня ещё не заметила. Неужели, до сих пор ждёт того своего клиента?</i>|<i>Wow! Sieht aus, als hätte Alice mich nicht bemerkt. Wartet sie immer noch auf ein paar Kunden?</i>
		07.aca.4^		Гхм...|Hem, hem

	07.aca.4@24@p-blog-2@Что?! Макс?! Какого хрена ты тут делаешь? Я же говорила, чтобы ты не входил без стука?|Was!? Max!? Was zum Teufel machst du hier? Ich habe dir gesagt, du sollst nicht ohne anzuklopfen rein kommen!
		07.aca.5^		Работаешь, значит...|Arbeit, huh...
