# --- 0.5: Диалог с мамой Кати через ноутбук|Gespräch mit Kates Mutter auf dem Laptop

	05.aft2kir.7@100@Я просто хочу тебя попросить относиться к этому как обучению, а не к лишней возможности получить удовольствие. И эти твои шуточки, фразочки... Они же смущают Лизу...|Ich möchte, dass du meine Lektionen entsprechend behandelst, anstatt dass du die Gelegenheit bekommst, zu kommen. All deine Witze.... Du machst Lisa nervös.
		05.aft2kir.8^		Ладно, я понял.|Ich verstehe

	05.aft2kir.8@114@Вот и молодец! Значит, продолжим обучение. Ночью я приду. Не обещаю, что этой, но однажды... В общем, ты ничего не пропусишь.|Gut. Dann setzen wir unseren Unterricht fort. Ich werde eines Nachts vorbeikommen. Vielleicht nicht heute Abend, aber letztendlich.... Du wirst es nicht verpassen.
		leave!set_kiranight_1^		Супер!|Super!



# --- 0.5: Третий урок|3rd lesson with Kira

	05.les3.0@114@m-k-1@Доброй ночи, мои любимые. Просыпайтесь, пришло время заняться чем-то интересным!|Hallo, alle zusammen! Wacht auf, es ist Zeit, etwas Interessantes zu tun!
		05.les3.1^		О, тётя Кира!|Tante Kira!

	05.les3.1@113@Да, это снова я! Макс, ты молодец, что смог убедить Лизу не прерывать наши занятия. А тобой, Лиза, я просто горжусь! Ты всё-таки смогла переступить через свои фобии.|Ja, das bin ich wieder! Gute Arbeit, Lisa davon zu überzeugen, unsere Lektionen fortzuführen. Und Lisa, ich bin stolz auf dich! Ich bin froh, dass du deine Ängste überwunden hast.
		05.les3.2^		<i>далее</i>|<i>fortfahren</i>

	05.les3.2@43@Да нет у меня никаких фобий, просто Макс немножко придурок... И это комплимент ещё, насчёт немножко...|Ich habe keine Phobien, Max ist ein bisschen ein Idiot, das ist alles. Und ich bin mit meiner "ein bisschen" Rolle sehr großzügig.
		05.les3.3^		Эй, я же здесь!|Hey, ich bin hier!

	05.les3.3@114@Макс, Лиза, не ругайтесь. Вам ещё вместе трахаться!|Hör auf zu streiten, du solltest stattdessen ficken!
		05.les3.4^		Что? Сегодня?!|Was, heute!?

	05.les3.4@101@m-k-13@Ну... нет, не сегодня. Но сегодня у нас закрепление пройденного материала. Лиза, покажи-ка нам, что ты усвоила из моего урока. Только теперь уже с продолжением.|Nun, nein. Nicht heute. Heute geht es wieder durch die letzte Lektion. Also, zeig uns, was du gelernt hast, Lisa.
		05.les3.5^		<i>далее</i>|<i>fortfahren</i>

	05.les3.5@41@m-k-14@Нет, я всё забыла. М-м... Мне нужно будет взять его в рот? Но как?! Тётя Кира, а ты не могла бы продемонстрировать свои умения ещё раз? Я не совсем поняла в прошлый раз...|Oh, ich habe nichts gelernt.... Muss ich ihn in den Mund nehmen? Wie soll ich das machen? Kannst du es mir noch mal zeigen, Tante Kira? Ich bin nicht sicher, ob ich das letzte Mal alles gelernt habe....
		05.les3.6^		Ну, я не против...|Es macht mir nichts aus....

	05.les3.6@108@m-k-10@Тебя, Макс, никто и не спрашивал... Ладно, Лиза, только ради тебя. Смотри внимательно, делаем всё то же самое, что и в прошлый раз. Тебе оттуда всё видно?|Niemand hat dich gefragt, Max.... Okay, Lisa, nur für dich. Sieh genau hin, ich mache alles wie beim letzten Mal. Kannst du alles sehen?
		05.les3.7^		<i>далее</i>|<i>fortfahren</i>

	05.les3.7@43@Да, член Макса трудно не увидеть... с любого расстояния. Бывает, даже из-за угла выглядывает...|Ja, Max' Schwanz ist aus jedem Winkel sichtbar.... Manchmal kann man ihn auch um die Ecke sehen....
		05.les3.8^		Хватит шутить, смотри как надо! Тётя Кира только ради тебя старается!|Hör auf zu scherzen und schau zu! Tante Kira macht das für dich!

	05.les3.8@41@Ага, а ты просто вынужден терпеть... А ещё мечтаешь, чтобы я тебе отсосала, вот и торопишь события...|Ja, und du bist so unglücklich.... Du kannst es kaum erwarten, bis ich dir einen geblasen habe.
		05.les3.9^		<i>далее</i>|<i>fortfahren</i>

	05.les3.9@100@m-k-9@Лиза! Сконцентрируйся. Я же тебе показываю. И если ты сомневаешься, что этот член может поместиться во рту, смотри внимательно...|Konzentrier dich, Lisa! Ich zeige dir das hier. Und wenn du dir immer noch nicht sicher bist, ob er in deinen Mund passt, schau besser genau hin....
		05.les3.10^		<i>далее</i>|<i>fortfahren</i>

	05.les3.10@40@m-k-11@Ого! Вот это да, тётя Кира! Как это у тебя получается?! Он почти весь помещается у тебя во рту!|Wow, Tante Kira! Wie machst du das!? Du hast es fast geschafft, das ganze Ding unterzubringen!
		05.les3.11^		<i>o да</i>|<i>oh, ja</i>

	05.les3.11@101@m-k-13@Многолетний опыт, малышка! Ты сможешь так же, главное – практика. А теперь иди сюда, пришла твоя очередь. И на этот раз деваться тебе некуда...|Jahre des Trainings, Baby! Du wirst das irgendwann auch schaffen. Okay, jetzt bist du dran. Du wirst dich jetzt nicht rauswinden....
		05.les3.12^		Допрыгалась...|He-he-he...

	05.les3.12@42@m-k-15@Заткнись, Макс! Ты просто надувная кукла с надувными шарами... тьфу, мозгами... Или даже без них. Так. Ладно, собралась...|Halt die Klappe, Max! Du bist nur ein Gummischwanz mit Gummibällen, ich meine Gehirne! Oder vielleicht sogar ohne! Okay, los geht's.
		05.les3.13^		<i>далее</i>|<i>fortfahren</i>

	05.les3.13@101@m-k-16@Всё верно. Не думай о нём как о твоём брате. Воспринимай его просто как мужчину, которого ты очень хочешь удовлетворить орально... Давай, бери его член в руку... А затем...|Das ist ein guter Ansatz. Denke nicht an ihn als deinen Bruder. Er ist nur ein Mann, und du willst ihm mit deinem Mund Freude bereiten.... Nimm ihn in die Hand und....
		05.les3.14^		<i>далее</i>|<i>fortfahren</i>

	05.les3.14@100@m-k-17@Осторожно, милая, не торопись. Сначала сосредоточься на его головке. Так. Губы сожми плотнее, можешь даже слегка прикусить его зубками, только не увлекайся...|Vorsicht, Schatz, wir haben es nicht eilig. Konzentrier dich zuerst auf seinen Kopf. Ja. Drück deine Lippen fester, du kannst ihn sogar ein bisschen beißen, aber sei vorsichtig.
		05.les3.15^		Ой!|Ow!

	05.les3.15@114@Лиза, я же говорю, аккуратнее. Зубки могут всё испортить. Делай пока всё нежно, тебе некуда спешить... И не пытайся засунуть весь член сразу, у тебя точно не получится в первый раз...|Ich habe dir gesagt, du sollst vorsichtig sein, Lisa. Du kannst alles mit Zähnen ruinieren. Sei sanft und beeil dich nicht.... Versuche nicht, seinen ganzen Schwanz rein zu stecken, das kannst du beim ersten Mal nicht.
		05.les3.16^		<i>далее</i>|<i>fortfahren</i>

	05.les3.16@46@m-k-18@Нет, тётя Кира, я не могу... Он такой огромный, у меня челюсть сводит... Не представляю как тебе удалось его засунуть так глубоко в рот...|Ich glaube nicht, dass ich das kann, Tante Kira.... Er ist so groß, mein Kiefer tut weh.... Ich kann mir nicht vorstellen, das ganze Ding in meinen Hals zu stecken....
		05.les3.17^		<i>далее</i>|<i>fortfahren</i>

	05.les3.17@114@Ну, Лиза, годы тренировки. Шучу, у тебя получится намного быстрее, но глубокий минет это отдельная тема. Пока тебе нужно просто сделать так, чтобы Макс кончил.|Jahrelange Praxis, Lisa. Ich meine es ernst, du bekommst das viel schneller, aber tiefes Throating ist ein ganz anderes Level. Fürs Erste musst du nur Max zum Abspritzen bringen.
		05.les3.18^		Отличная цель!|Tolle Idee!

	05.les3.18@42@m-k-15@Что? Куда кончил?|Was? Wo, Abspritzen?
		05.les3.19^		В голову, куда же ещё!|In deinem Mund, wo sonst?

	05.les3.19@100@Макс, заткнись, уже я тебя прошу. Мы же договорились. Лиза, ну а как ты думала, для чего же ещё делают минет, если не для того, чтобы мужчина кончил?|Max, halt schon die Klappe, wir haben darüber gesprochen. Was dachtest du, was passieren würde, Lisa? Was denkst du ist das Endziel eines Blowjobs?
