# --- 0.4: (новое из 0.4: массаж, в конце) Разговор с Алисой, когда она одна загорает|Alice sonnt sich.

	alisa.talk.solar.init@0@Загораешь?|Sonnenbaden?
	spider.inbed.wtf.ok.spider.release@23@e-alisa-night-spider-3@Макс! Я тебя просила убить его, а не отпускать! Спасибо, конечно, что убрал его из комнаты, но вдруг он вернётся?.. Всё, иди отсюда. Я хочу спать!|Max! Ich bat dich, es zu töten, nicht freizulassen! Danke, aber was ist, wenn es zurückkriecht....? Und jetzt raus hier, ich will schlafen!
		spider.inbed.return!add_alisa.mood_-50!set_item.spider_-1!set_dcd.canfindspider_2!add_alisa.inf_-5^			<i>вернуться в кровать</i>|<i>wieder ins Bett gehen</i>

	spider.inbed.wtf.ok.spider.kill@21@e-alisa-night-spider-3@Так ему! Спасибо, Макс! Ты мой спаситель. А теперь иди отсюда, я спать хочу!|Danke, Max! Du bist mein Retter. Jetzt geh bitte in dein Zimmer, ich will schlafen.
		spider.inbed.return!add_alisa.mood_100!set_item.spider_-1!set_dcd.canfindspider_4!add_alisa.inf_-15^		<i>вернуться в кровать</i>|<i>wieder ins Bett gehen</i>

	spider.inbed.return@4@e-max-sleep-1@<i>Забавно всё прошло... Ладно, пора спать...</i>|<i>Nun, das hat Spaß gemacht. Okay, lass uns wieder schlafen.</i>
		leave^																						<i>спать до утра</i>|<i>bis zum Morgen schlafen</i>



# --- Дарим Алисе платье для клуба|schenkt Alice ein Kleid für das Ausgehen.

	alisa.gift.littleblackdress.init@0@Угадай: маленькое, чёрненькое...|Vermutung: klein, schwarz....
	alisa.gift.littleblackdress@30@Макс? Это платье для клуба? Правда?!|Max! Hast du mir ein Kleid gekauft?
		alisa.gift.littleblackdress.yeah^				Ага...|Ja

	alisa.gift.littleblackdress.yeah@31@Спасибо, Макс! Ты такой... Не знаю даже, я просто в шоке!|Danke, Max! Du bist so.... Ich weiß nicht mal, was ich sagen soll!
		alisa.gift.littleblackdress.yeah.give^			Держи...|Hier
		alisa.gift.littleblackdress.yeah.stop^			Не так быстро...|Nicht so schnell....

	alisa.gift.littleblackdress.yeah.give@22@Вот так вот сразу и без подвоха? Обалдеть... Не ожидала от тебя, Макс... Спасибо!\n\n<color=lime><i><b>Внимание:</b> Ваши отношения улучшились</i></color>|Was, du willst nicht mal eine Gegenleistung verlangen? Ich habe das nicht von dir erwartet, Max.... Ich danke Dir vielmals!\n\n<color=lime><i><b>Achtung:</b> deine Beziehung ist verbessert worden.</i></color>
		leave!add_alisa.rep_1!add_alisa.mood_300!set_item.littleblackdress_1!set_alisa.dress_1!set_poss.nightclub_5^				Не за что!|Gern geschehen!

	alisa.gift.littleblackdress.yeah.stop@22@Так и знала, что есть какой-то подвох... И что ты хочешь за него?|Ich wusste, dass es ein guter Fang war.... Was willst du denn?
		alisa.gift.littleblackdress.yeah.give^			Да ничего, просто держи...|Nichts, du kannst es haben.
		alisa.gift.needshow.1^							Устрой мне показ в нём...|Gib mir eine Show darin.

	alisa.gift.needshow.1@25@Ты хочешь, чтобы я его примерила прямо при тебе?|Willst du, dass ich es direkt vor dir anprobiere?
		alisa.gift.needshow.2^							Конечно! Я это и хочу!|Natürlich! Genau das will ich!

	alisa.gift.needshow.2@28@Макс... А жить... хочешь?|Wie wäre es, wenn ich dich nicht dafür töte, dass du fragst?
		alisa.gift.needshow.3^							Эй, что за угрозы?|Schön, kein Grund, so aggressiv zu sein.

	alisa.gift.needshow.3@33@loc-26@Жди за дверью. Я сейчас надену платье и тебе покажу, так уж и быть...|Warte hinter der Tür. Ich ziehe mich um und zeige mich in einem neuen Kleid, wenn du willst.
		alisa.gift.needshow.4^							Э... Хорошо...|Okay

	alisa.gift.needshow.4@25@e-newdress-1@Ну как, Макс? Мне идёт?|Wie sehe ich aus, Max?
		alisa.gift.needshow.5^							Выглядишь... шикарно!|Du siehst toll aus!

	alisa.gift.needshow.5@31@e-newdress-2@Спасибо, Макс! Честно говоря, я не ожидала от тебя такого подарка. Спасибо! И...|Danke, Max. Ich habe so ein Geschenk nicht von dir erwartet. Und....
		alisa.gift.needshow.6^							И?|Und...?

	alisa.gift.needshow.6@25@e-newdress-3@...И небольшой бонус. Я знаю, что ты ждал чего-то подобного...|Hier, ein kleiner Bonus für Dich. Ich weiß, du wolltest so etwas wie das....
		alisa.gift.needshow.7^							Очень... очень хорошо...|Sehr.... sehr schön....
		alisa.gift.needshow.7^							А можешь наклониться?|Kannst du dich bücken?

	alisa.gift.needshow.7@21@e-newdress-2@Хорошего в меру... Правда, ты меня очень сильно выручил. Спасибо ещё раз!\n\n<color=lime><i><b>Внимание:</b> Ваши отношения улучшились</i></color>|Nun, das reicht jetzt. Du hast mir wirklich mit dem Kleid geholfen. Ich danke dir so sehr!\n\n<color=lime><i><b>Achtung:</b> deine Beziehung ist verbessert worden.</i></color>
		leave!move_veranda!add_alisa.rep_1!add_alisa.mood_200!set_item.littleblackdress_1!set_alisa.dress_1!set_poss.nightclub_5!add_alisa.inf_-50^		Не за что!|Gern geschehen!



# --- Попытка разговора с Алисой насчёт того случая в ванной|Gespräch über After-Club-Event im Bad

	alisa.try.talkaboutbath.init@0@Насчёт ванны ночью...|Um diese Zeit im Badezimmer bei Nacht....
	alisa.try.talkaboutbath@32@Ты о чём, Макс?|What are you talking about?
		alisa.try.talkaboutbath.back!set_alisa.talkaboutbath_2^							Ну, ты вернулась ночью из клуба и мы разговаривали в ванной...|Über das Gespräch, das wir im Badezimmer hatten, als du aus dem Club zurückkamst.

	alisa.try.talkaboutbath.back@23@Я не помню такого... Тебе приснилось!|Ich erinnere mich an nichts....
		alisa.try.talkaboutbath.back.show!add_alisa.mood_-50^			Ты мне кое-что показала...|Du hast mir etwas gezeigt....
		alisa.try.talkaboutbath.back.done^								Ты мне кое-что сделала...|Du hast etwas getan....
		alisa.try.talkaboutbath.back.done^								Мы делали кое-что...|Wir haben etwas getan....
		alisa.try.talkaboutbath.back.sorry!add_alisa.mood_50^			Да, ну извини...|Oh, dann tut es mir leid, dass ich das denke.

	alisa.try.talkaboutbath.back.show@22@Что?! Всё ты врёшь, Макс. Не было такого!|Was!? Du lügst, Max. Nichts ist passiert!
		alisa.try.talkaboutbath.back.show.asuwish^						Да? Ну, думай так...|Oh? Nun, was auch immer du sagst.

	alisa.try.talkaboutbath.back.show.asuwish@23@Макс. Повторяю, ничего не было. И даже если и было, ты об этом забудешь, если хочешь жить. Ты меня понял?|Max. Ich sag's dir noch mal. Es ist nichts passiert. Und selbst wenn etwas passiert ist, wirst du es vergessen, wenn du dein Leben wirklich liebst. Habe ich mich klar ausgedrückt?
		alisa.try.talkaboutbath.back.show.asuwish.ok^					Конечно...|Natürlich

	alisa.try.talkaboutbath.back.show.asuwish.ok@27@Я серьёзно! А теперь вали отсюда...|Ich meine es ernst! Und jetzt verschwinde.
		leave!lock^														Хорошо...|Okay

	alisa.try.talkaboutbath.back.done@30@Что?! Макс! Ты всё врёшь! Если это правда, я тебя убью, обещаю! А если нет, то тоже! Быстро свалил отсюда!|Was!? Du lügst, Max. Ich bringe dich um, wenn das wahr ist! Und selbst wenn es das nicht ist, werde ich dich trotzdem töten! Verpiss dich von hier!
		leave!add_alisa.mood_-100!lock^									Хорошо...|Okay

	alisa.try.talkaboutbath.back.sorry@22@Надо же, даже извинился... Вот только я правда мало что помню. Будем считать, что ничего и не было. И не напоминай мне больше об этом. Понял?|Wow, du hast dich sogar entschuldigt.... Aber ich erinnere mich wirklich nicht an viel. Lass uns einfach so tun, als wäre nichts passiert und nie darüber reden, okay?
		leave!lock^														Аг?...|Ja...


# --- Попытка убедить Алису в том, что с мамой что-то не так|Versuch, Alice zu sagen, dass mit ihrer Mutter etwas nicht stimmt.

	alisa.about.momcontrol.init@0@Насчёт мамы...|Über Mom....
	alisa.about.momcontrol@21@Я тебя слушаю. Что с мамой?|Ist Mom etwas zugestoßen?
		alisa.about.momcontrol.next.1^							Именно! Что с мамой?|Genau! Ist Mom etwas zugestoßen?

	alisa.about.momcontrol.next.1@22@Макс, выражайся конкретнее, а то у меня нет времени на пустую болтовню.|Ich verstehe dich nicht, Max. Wovon redest du?
		alisa.about.momcontrol.next.2^							Ты не замечала, что мама как-то изменилась?|Denkst du nicht, dass sich Mom irgendwie verändert hat?

	alisa.about.momcontrol.next.2@33@Конечно, она счастлива. Я рада, что она счастлива и тебе советую порадоваться.|Natürlich. Sie ist glücklich. Und ich bin froh, dass sie glücklich ist. Und ich schlage vor, dass du dich für sie freust.
		alisa.about.momcontrol.next.3^							Я говорю об Эрике. Мне кажется, что он её контролирует.|Ich rede von Eric. Ich glaube, er kontrolliert sie irgendwie.

	alisa.about.momcontrol.next.3@22@Что значит... контролирует?|Was meinst du damit, er kontrolliert sie?
		alisa.about.momcontrol.next.4^							Ну, она делает всё, что он скажет. Буквально!|Sie tut, was auch immer er ihr sagt. Buchstäblich!
		alisa.about.momcontrol.next.4^							Не она принимает решения, а он за неё!|Er trifft die Entscheidungen für sie!

	alisa.about.momcontrol.next.4@25@Что за бред, Макс? Конечно мама сама себя контролирует. Да, она изменилась, но только потому, что теперь у неё есть мужчина.|Das ist lächerlich, Max. Natürlich beherrscht sich Mama. Sicher, sie hat sich ein wenig verändert, aber nur, weil sie jetzt einen Mann hat.
		alisa.about.momcontrol.next.5^							<i>рассказать про случай с подглядыванием</i>|<i>Erzähle ihr von dem Spanner-Vorfall.</i>

	alisa.about.momcontrol.next.5@29@Макс, а ты в курсе, что это с тобой какие-то проблемы? Ты больной извращенец! Нахрена ты за мамой вообще подглядывал?!|Was ist los mit dir, Max? Warum hast du auf Mom geschaut, du kranker Perverser?
		alisa.about.momcontrol.next.6!add_alisa.mood_-50^		Да речь не о обо мне!|Wir reden jetzt nicht über mich!

	alisa.about.momcontrol.next.6@22@А вот я как раз о тебе. Завязывай уже с этими своими... извращениями и дай маме жить полноценной жизнью. Всё, разговор окончен.|Ich rede von dir. Hör auf mit deinen.... Perversionen und lass Mom ihr Leben leben. Dieses Gespräch ist beendet.
		poss.control=1&leave!set_poss.control_2^				<i>уйти</i>|<i>verlassen</i>
		poss.control=3&leave!set_poss.control_4^				<i>уйти</i>|<i>verlassen</i>



# --- Пытаемся подсесть к Алисе, пока она смотрит ТВ|Abendveranstaltung mit Alice im Fernsehen

	alisa.tv.try.init@0@Не возражаешь против компании?|Darf ich dir Gesellschaft leisten?
	alisa.tv.try@20@Нет, садись. Тут места много...|Nein, setz dich, hier ist genug Platz.
		apun=0&alisa.tv.sit!set_dcd.alisatvtogether_1^						Хорошо. Что смотришь?|Was schaust du dir an?
