# --- 0.12: Макс спрашивает Лизу насчёт уроков с мамой

	12.aa.0.init@0@Как ваше обучение с мамой?|Any progress on your sex ed lessons with mom?
	12.aj.10@50@d-mt-24@Ого, мам! И как он только там помещается? А ты можешь его полностью взять в рот? Ой, извини, ты же не можешь говорить...|Wow, mom! How could you even fit so much inside? Can you swallow the whole thing? Sorry, I didn't think that you're busy. I'll ask my questions later.
		12.aj.11^		<i>далее</i>|<i>continue</i>

	12.aj.11@4@d-mt-25@<i>О да... Это определённо лучший наш урок! Мама просто волшебно сосёт... Разве что, тётя Кира не хуже... Да и Алиса старается... Ну и Лиза... Ух...</i>|<i>This is our best lesson yet! Mom is so incredible at this... Aunt Kira isn't bad either, though... And Alice is trying her best recently... And so does Lisa... Wow...</i>
		12.aj.12^		<i>наслаждаться</i>|<i>enjoy</i>

	12.aj.12@3@d-mt-24@<i>И Лиза... смотрит так жадно... Кажется, она сама очень хочет взять в рот мой член... Да тут невозможно сдерживаться!</i>|<i>Lisa has this hungry look in her eyes... I think she wants to suck me right now... How am I supposed to hold off in this scenario?</i>
		12.aj.13^		<i>кончить!</i>|<i>cum!</i>

	12.aj.13@50@d-mt-26@Ого, мам, как много... И что потом с этим делать? Ты выплюнешь? Ой, ты всё проглотила?|Wow, mom, so much... What am I supposed to do in this scenario? Are you going to spit it out? Oh, you swallowed everything...
		12.aj.14^		<i>далее</i>|<i>continue</i>

	12.aj.14@67@d-mt-12@Конечно, в первый раз у тебя может не получиться всё проглотить, да это и не обязательно...|You might not be able to swallow on your first try, don't worry about it. It's not really necessary.
		12.aj.15^		<i>далее</i>|<i>continue</i>

	12.aj.15@41@Тогда почему ты это сделала? Чтобы не пачкать пол и одежду?|Then why'd you do it? Didn't want to stain your clothes and floor?
		12.aj.16^		<i>далее</i>|<i>continue</i>

	12.aj.16@67@Нет, это тут ни при чём. Просто, многим парням нравится смотреть на то, как девушка всё глотает... Макс, я права? Может быть, тебе не нравится?|No, I did it because guys love it. Right, Max? Did you like seeing me swallow your load?
		12.aj.17^		Очень нравится!|I loved it!

	12.aj.17@43@Понятно... Ладно, я попробую тогда в следующий раз, да, мам?|I see. Then should I try it on our next lesson?
		12.aj.18^		<i>далее</i>|<i>continue</i>

	12.aj.18@69@Ну... Хорошо, раз уж до этого всё дошло, то да, попробуешь... Ну всё, Макс, приводи себя в порядок, одевайся, на сегодня урок окончен...|Hm... Eh, why not. In for a penny and all that... But you don't have to keep doing it if you won't like it. Okay, Max, clean yourself and let's wrap this up for today.
		12.aj.19^		Ага...|Sure

	12.aj.19@41@d-mt-35@И мам... Кажется, у тебя немного спермы осталось на лице...|I think you still have some cum on your face, mom.
		12.aj.20^		<i>далее</i>|<i>continue</i>

	12.aj.20@67@Спасибо, Лиза, я сейчас умоюсь. Ну всё, бегите, а то Макс скоро снова возбудится от наших с тобой разговоров, что потом делать?|Thanks, Lisa, I'll go to the bathroom and freshen up. Let's finish up before Max gets hard again and we'll have to do something about it. We wouldn't want that, right?
		12.aj.21^		Есть пара идей...|Speak for yourself...

	12.aj.21@62@Бегом отсюда! Идеи у него...|Go, now!
		leave!set_poss.guest_31!set_lidea_15!max_cam.2.grow_300!time^			Понял, уходим...|Right, right, I'm going



# --- 0.12: Разговор с Лизой насчёт прошлого урока

	12.ak.0.init@0@Как тебе прошлое занятие?|How did you like our last lesson?
	12.ak.0@43@Макс, я не поверила своим глазам, когда мама взяла твой член в свой рот! Это просто немыслимо! Наша мама и... Я в шоке!|I couldn't believe my eyes when mom took your cock in her mouth! Mom, and... How the hell did that happen? <i>Our</i> mom?
		12.ak.1^		А чего ты ожидала?|What did you think was gonna happen?

	12.ak.1@41@Ну я думала, что она будет показывать это как-то... руками, жестами, на словах... А она, взяла в рот, да ещё так глубоко и... Ну ты там был...|I don't know, maybe she would just give me some pointers or mime it with gestures or something... She just took it in her mouth, and so deep too... Well, you were there.
		12.ak.2^		О да...|Oh, yeah...
