# --- 0.3: Приезд Киры|Kira's Ankunft

	specialevent.4@75@e-meet-eric-1@Ну что, дети, дождались? Встречайте, к нам приехала тётя Кира!|He, Kinder, kommt her! Hier ist Tante Kira!
	kps.0.step.5@101@e-ps1-f4@Вообще, мне нравится, что ты держишь себя в руках. Некоторые непрофессиональные фотографы почему-то думают, что модель им что-то должна... Рада, что ты не такой...|Ich mag es, wie du dich kontrollierst. Einige unprofessionelle Fotografen denken, Models schulden ihnen etwas.... Ich mag es, dass du nicht wie sie bist.
		kps.0.step.6^				Чёрт!|Fuck!

	kps.0.step.6@104@e-ps1-f5@Что, Макс? Я не расслышала... А, не важно. Ну что, я думаю, достаточно на сегодня. Есть что-то удачное?|Hast du was gesagt, Max? Ich konnte dich nicht hören.... Wie auch immer, ich denke, es ist genug für heute. Glaubst du, wir haben gute Fotos gemacht?
		kps.0.step.7^				Надеюсь...|Ich hoffe es

	kps.0.step.7@101@Ладно, давай я скину себе фотографии, мой знакомый их обработает и там уже посмотрим, что получилось. Спасибо тебе, Макс. Кстати, если что, ты же не откажешь ещё пощёлкать свою тётю?|Okay, lass mich diese Fotos meinem Kollegen geben, er wird sie in Photoshop bearbeiten und wir werden das Ergebnis sehen. Danke, Max. Also, wirst du mir diesen Gefallen in Zukunft wieder tun?
		kps.0.step.8^				Да, я бы пощёлкал...|Ja, das würde mir gefallen.

	kps.0.step.8@113@Вот и здорово, Макс! Ладно, пойду переоденусь, а тебе ещё раз спасибо...|Großartig! Okay, ich ziehe mich um, danke nochmal.
		leave!set_dcd.kiratalk_1!add_kiratalk_1!set_poss.aunt_5!max_cam.4.grow_300!time^					<i>Ну вот, ничего не обломилось в этот раз...</i>|<i>Scheiße, ich hatte keine Zeit....</i>



# --- 0.3: Пытаемся попросить Киру научить Макса целоваться|Kira zu bitten, Max das Küssen beizubringen.

	kira.kiss.try.init@0@Кира, мне нужно научиться целоваться...|Tante Kira, ich muss lernen, wie man küsst.
	kira.kiss.try@102@Вот это подход, я понимаю! Может быть, тебе ещё что-то нужно?|Das ist ein Versuch! Brauchst du sonst noch etwas?
		kira.kiss.try.next.1a^				А можно что-то ещё?|Was schwebt dir vor?
		kira.kiss.try.next.1b^				Для начала только целоваться!|Fangen wir mit dem Küssen an und sehen wir, wohin es uns führt.

	kira.kiss.try.next.1b@103@Для начала? Забавно... Постой, ты нашёл себе девушку? Кто она? Откуда? Как познакомились? Как зовут? Хочу всё знать!|<i>Start</i> vom Küssen? Heh, lustig. Warte, hast du eine Freundin? Wer ist sie? Wo kommt sie her? Wie habt ihr euch kennengelernt? Wie ist ihr Name? Erzähl mir alles!
		kira.kiss.try.next.2^				Как ты догадалась?|Woher wusstest du das?

	kira.kiss.try.next.1a@103@Шутник ты, Макс... Постой, ты нашёл себе девушку? Кто она? Откуда? Как познакомились? Как зовут? Хочу всё знать!|Sehr witzig, Max. Warte, hast du eine Freundin? Wer ist sie? Wo kommt sie her? Wie habt ihr euch kennengelernt? Wie ist ihr Name? Erzähl mir alles!
		kira.kiss.try.next.2^				Как ты догадалась?|Woher wusstest du das?

	kira.kiss.try.next.2@113@Ну зачем ещё парню может это понадобиться, сам подумай... И что, больше не у кого просить помощи, решил ко мне обратиться?|Warum solltest du sonst lernen, wie man küsst? Du hast also niemanden, der dir hilft?
		ask.mom.teachkiss=2&kira.kiss.try.next.3a^			Мама не помогла...|Mom hat mir nicht geholfen.
		ask.alisa.teachkiss=2&kira.kiss.try.next.3b^		Да, Алиса меня отшила...|Ja, Alice hat mir gesagt, ich soll verschwinden.
		kira.kiss.try.next.4^								Ага...|Ja ja

	kira.kiss.try.next.3a@101@Даже мама не помогла? Ого! Наверняка, сказала, чтобы ты учился целоваться со своей девушкой?|Wow, sogar Mom hat nein gesagt? Sie hat dir wahrscheinlich gesagt, du sollst lernen, deine Freundin zu küssen, oder?
		kira.kiss.try.next.4^								Точно!|Genau!

	kira.kiss.try.next.3b@101@Неудивительно. Наверняка, полез целоваться и получил... по... Хотя, нет. Видимо, тебе повезло. Ну я бы не стала к Алисе с такими вопросами обращаться на твоём месте...|Das überrascht mich nicht. Du hast wahrscheinlich nur versucht, sie zu küssen und wurdest in den.... Oder auch nicht. Vielleicht hattest du Glück. Wie auch immer, ich würde an deiner Stelle mit diesem Problem nicht zu Alice gehen.
		kira.kiss.try.next.4^								Да, уже жалею...|Ja, es war Zeitverschwendung.

	kira.kiss.try.next.4@104@Ну что же... Думаю, я смогу тебе помочь. Правда, не здесь и не сейчас. Нужна более интимная обстановка. О, я иногда вечерами смотрю телевизор. Если ещё не будешь спать, напомни о своей просьбе...|Nun.... Ich schätze, ich könnte dir helfen. Aber ein anderes Mal. Wir brauchen einen intimeren Rahmen. Wie wäre es am Abend, wenn ich fernsehen würde? Dann kannst du mich an dein Problem erinnern.
		poss.sed=5&leave!set_ask.kira.teachkiss_2!set_poss.sed_6^		Договорились!|Deal!
		poss.sed?5&leave!set_ask.kira.teachkiss_2^						Договорились!|Deal!
		kira.kiss.try.next.5^											Хорошо! А ты только этому учишь?|Ist das das Einzige, was du mir beibringen wirst?

	kira.kiss.try.next.5@109@Макс, тебе стоит быть чуть более... тактичным. В общем, помочь я тебе помогу, только выбери подходящий момент. Договорились?|Max, du solltest taktvoller sein. Wie auch immer, ich kann dir helfen, wenn du mich zum richtigen Zeitpunkt fragst. Abgemacht?
		poss.sed=5&leave!set_ask.kira.teachkiss_2!set_poss.sed_6^		Конечно!|Sicher!
		poss.sed?5&leave!set_ask.kira.teachkiss_2^						Конечно!|Sicher!



# --- 0.3: Кира смотрит телевизор|Kira sieht fern.

	kira.tv.alone@4@e-kiratv-1@<i>Тётя Кира смотрит какую-то эротику... Или даже порно. Понаблюдать ещё или не мешать ей отдыхать?</i>|<i>Tante Kira schaut sich Erotik an.... Oder vielleicht sogar Pornos. Soll ich weiter zuschauen oder gehen?</i>
		kira.tv.alone.next.1!max_cam.4.grow_150^				<i>наблюдать</i>|<i>zusehen</i>
		leave!sleep^						<i>пора спать, уже поздно...</i>|<i>Es ist spät, ich sollte schlafen gehen.</i>

	kira.tv.alone.next.1@5@e-kiratv-2@<i>Оу... Кажется, ей нравится то, что она видит. Чёрт! Да и мне тоже!</i>|<i>Wow.... Ich schätze, ihr gefällt, was sie sieht. Und ich mag es auch!</i>
		kira.tv.alone.next.2^				<i>продолжать смотреть</i>|<i>weiter zusehen</i>

	kira.tv.alone.next.2@4@e-kiratv-3@<i>Крутяк! Она сняла трусики и вытащила свои огромные сиськи! Вот это мне повезло!</i>|<i>Sie zog ihr Höschen aus und holte ihre riesigen Titten raus!</i>
		kira.tv.alone.talk.1^				Тётя Кира?|Tante Kira?
		max.imp=0&kira.toy=1&kira.tv.alone.next.3^	<i>далее</i>|<i>fortfahren</i>
		leave!sleep^						<i>пора спать, уже поздно...</i>|<i>Es ist spät, ich sollte schlafen gehen.</i>

	kira.tv.alone.talk.1@103@e-kiratv-4@А? Макс? Как ты подкрался незаметно... Я думала, уже все спят давно... А я тут... отдыхаю, как видишь. Я тебя не смущаю таким своим видом?|Max? Ich habe dich nicht gehört. Ich dachte, alle schlafen schon. Ich war.... entspannend, wie du sehen kannst. Ich hoffe, du fühlst dich nicht unwohl?
		max.imp=0&kira.tv.alone.talk.2a^				Ни капли!|Überhaupt nicht!
		max.imp=0&kira.tv.alone.talk.2b^				Да ты продолжай, я посижу, посмотрю...|Bitte mach weiter, ich möchte hier sitzen und zusehen.
		kira.tv.alone.talk.2c^				Я хотел пожелать спокойной ночи!|Ich wollte dir gute Nacht sagen.

	kira.tv.alone.talk.2a@113@e-kiratv-5@Если твоя мама узнает, то нам обоим влетит. Так что... Пусть этот инцидент останется тайной...|Wenn deine Mom uns erwischt, kriegen wir beide Ärger. Lass es uns geheim halten.
		kira.tv.alone.talk.3a^				Мне что-то не спится. Можно тоже телек посмотреть?|Ich kann auch nicht schlafen. Kann ich mit dir fernsehen?
		kira.tv.alone.talk.3b^				Кажется, ты трусы забыла надеть...|Ich glaube, du hast vergessen, ein Höschen zu tragen.
		kira.tv.alone.talk.3a^				А мне можно тоже... посмотреть фильм?|Kann ich.... auch einen Film sehen?

	kira.tv.alone.talk.2b@113@e-kiratv-5@Ну что ты, Макс. Я просто не ожидала, что кто-то увидит. Так неловко...|Ich habe kein Publikum erwartet, Max. Ich könnte das nicht tun, es ist zu peinlich.
		kira.tv.alone.talk.3a^				Мне что-то не спится. Можно тоже телек посмотреть?|Ich kann auch nicht schlafen. Kann ich mit dir fernsehen?
		kira.tv.alone.talk.3b^				Кажется, ты трусы забыла надеть...|Ich glaube, du hast vergessen, ein Höschen zu tragen.

	kira.tv.alone.talk.2c@113@e-kiratv-5@Хорошо, Макс. Спокойной ночи! Я тоже уже ложусь спать...|Süße Träume, Max. Ich werde auch schlafen.
		leave!sleep^						Ага, приятных снов...|Süße Träume

	kira.tv.alone.talk.3b@101@Ой, ты прав. Какая я забывчивая... Ну тут темно и будем считать, что ничего не видно... А ты чего хотел, Макс?|Oh, du hast Recht.... aber es ist dunkel hier, also lass uns so tun, als ob du nichts sehen kannst. Wolltest du etwas, Max?
		kira.tv.alone.talk.3a^				Можно состаавить тебе компанию?|Kann ich dir Gesellschaft leisten?

	kira.tv.alone.talk.3a@114@e-kira-mtv-1@Да без проблем, садись рядом. Только трусики надену... Вот, теперь порядок. Что будем смотреть? Боевики, фантастику?|Natürlich, Max. Lass mich nur mein Höschen anziehen. Was willst du sehen?
		can.watchporno=1&kira.tv.alone.talk.4a^				Может быть, эротику?|Wie wäre es mit etwas Erotik?
		can.watchporno=0&kira.tv.alone.talk.5a^				Может быть, эротику?|Wie wäre es mit etwas Erotik?
		can.watchporno=1&kira.tv.alone.talk.4b^				А можно порно посмотреть?|Können wir uns Pornos ansehen?
		can.watchporno=0&kira.tv.alone.talk.5b^				А можно порно посмотреть?|Können wir uns Pornos ansehen?
		lizas.mentor=1&ask.kira.teachkiss=2&kira.tv.alone.talk.4!max_cam.4.grow_150!add_kira.inf_-10^			Я насчёт уроков поцелуев, если момент подходящий...|Ich möchte dich fragen, ob das ein guter Zeitpunkt ist, um Unterricht zu geben.
