# --- Алиса спит|Alice schläft.

	alisa.pfriend.knock.me@121@<b>Алиса:</b> Даже не вздумай! Прибью на месте! Жди там. А лучше свали подальше, чтобы под дверью не сопел тут.|<b>Alice:</b> Denk nicht mal dran! Ich werde dich auf der Stelle töten! Warte dort. Oder besser noch geh, ich will nicht hören, wie du hinter meiner Tür atmest.
		leave!lock^									Хорошо...|Schön

	alisa.pfriend.voyeur.pants@120@e-alisa-dressing-1-p@Алиса переодевается... Трусики хорошо смотрятся на её попке. Но без них было бы лучше... Так. Пора сваливаться. Вдруг, кто-то заметит!|Alice zeiht sich um. Ihr Arsch sieht gut aus in diesem Höschen, aber es würde noch besser aussehen ohne sie.... Es ist Zeit zu flüchten. Jemand kann es bemerken!
		leave!lock^									<i>уйти</i>|<i>verlassen</i>

	alisa.pfriend.voyeur.nopants@120@e-alisa-dressing-1-np@Супер! Алиса не надевает трусы... Надеюсь, кто-то это заметит там, куда она идёт...|Super! Alice trägt kein Höschen, wo auch immer sie hingeht.... Ich hoffe, das merkt jemand!
		leave!lock^									<i>уйти</i>|<i>verlassen</i>

	alisa.pfriend.open.nice.angry@42@...|...
		leave!lock^									<i>Бежать</i>|<i>Lauf weg</i>



# --- Мама и Эрик закрылись в своей комнате (22:00 - 23:00)|Eric and Ann are in her room (22:00-23:00)

	mom.eric.door.fuck@121@Судя по звукам, мама с Эриком чем-то занимаются. Открыть дверь точно не стоит, влетит...|Den Geräuschen nach zu urteilen, sind Mom und Eric mit etwas Interessantem beschäftigt. Ich sollte nicht die Tür öffnen, ich werde bestraft.
		ertype=0&eric.status<2&random.dex.2=1&mom.eric.door.fuck.voyeur^				<i>подглядывать с улицы</i> [skill.dex_2]|<i>von außen spionieren</i> [skill.dex_2]
		ertype=0&eric.status<2&random.dex.2=0&mom.eric.door.fuck.busted^				<i>подглядывать с улицы</i> [skill.dex_2]|<i>von außen spionieren</i> [skill.dex_2]
		ertype=0&eric.voy.stage<6&eric.status>1&mom.eric.door.fuck.voyeur.new^			<i>подглядывать с улицы</i>|<i>von außen spionieren</i>
		ertype=0&eric.voy.stage>5&eric.status>1&mom.eric.door.fuck.voyeur.hard^			<i>подглядывать с улицы</i>|<i>von außen spionieren</i>
		ertype=1&06.ervoya.0^															<i>подглядывать с улицы</i>|<i>von außen spionieren</i>
		ertype=3&06.ervoyb.0^															<i>подглядывать с улицы</i>|<i>von außen spionieren</i>
		ertype=5&06.ervoyc.0^															<i>подглядывать с улицы</i>|<i>von außen spionieren</i>
		ertype=7&06.ervoyc.0^															<i>подглядывать с улицы</i>|<i>von außen spionieren</i>
		leave!lock^																		<i>уйти</i>|<i>verlassen</i>

	mom.eric.door.fuck.voyeur@120@e-Mom-eric-room-1-0@<color=lime><i>Удалось незаметно подкрасться!</i></color>\nВот это да... Боюсь даже представить, что будет, если меня поймают, пока я подглядываю... за этим...|<color=lime><i>Schleichversuch gelungen!</i></color>\n Wow.... Ich habe Angst, mir vorzustellen, was passiert, wenn sie mich dabei erwischen....
		leave!lock_momroom_2^										<i>тихо уйти</i>|<i>leise verschwinden</i>

	mom.eric.door.fuck.busted@9@e-Mom-eric-room-1-1@<color=orange><i>Не удалось подкрасться незаметно!</i></color>\nКто там? Макс?! Ты за нами подглядывашь?! Перед завтраком накажу! Быстро убирайся!|<color=orange><i>Schleichversuch misslungen!</i></color>\nWer ist da? Max?! Spionierst du uns nach?! Du wirst vor dem Frühstück bestraft! Verschwinde sofort!
		leave!set_max.pun_1!set_max.punreason_3!add_eric.mood_-50!lock_momroom_3!add_eric.nvm_1^		<i>бежать!</i>|<i>Lauf!</i>

	mom.eric.door.fuck.voyeur.new@120@e-Mom-eric-room-2-0@О, чёрт... Эрик трахает маму сзади, да так активно... Кажется, ей это очень нравится!|Oh, Scheiße.... Eric fickt meine Mutter von hinten.... Ich glaube, es gefällt ihr wirklich!
		eric.voy.stage<2&mom.eric.fckv.1^							<i>далее</i>|<i>fortfahren</i>
		eric.voy.stage=2&mom.eric.fckv.2^							<i>далее</i>|<i>fortfahren</i>
		eric.voy.stage=3&mom.eric.fckv.3^							<i>далее</i>|<i>fortfahren</i>
		eric.voy.stage=4&mom.eric.fckv.2^							<i>далее</i>|<i>fortfahren</i>
		eric.voy.stage=5&mom.eric.fckv.5^							<i>далее</i>|<i>fortfahren</i>

	mom.eric.fckv.1@68@e-Mom-eric-room-2-1@Макс?! Что за чёрт? Я тебя завтра утром накажу за это! Быстро ушёл оттуда!|Max, was zum Teufel?! Ich werde dich morgen bestrafen! Verschwinde von hier!
		leave!set_eric.voy.stage_1!add_max.pun_1!set_max.punreason_3!lock_momroom_2^			Хорошо, мам...|Okay, Mom

	mom.eric.fckv.2@120@e-Mom-eric-room-2-2@Что?! Эрик издевается? Кажется, мама меня не заметила, но этот гад... Вот сволочь...|Was?! Verspottet Eric mich? Ich glaube nicht, dass meine Mutter mich bemerkt hat, aber dieser Bastard.... Abschaum....
		leave!add_eric.voy.stage_1!lock_momroom_2^					<i>уйти</i>|<i>verlassen</i>

	mom.eric.fckv.3@68@e-Mom-eric-room-2-3@Макс? Ты опять подглядываешь? Утром накажу у всех на глазах за это!|Max? Spionierst du schon wieder? Ich werde dich morgen früh vor allen bestrafen!
		mom.eric.fckv.3.next.1^										Э... Не надо!|Bitte nicht!

	mom.eric.fckv.3.next.1@83@Ань, не спеши. Макс подросток и ему всё интересно. Ты же знаешь, запретный плод сладок. Думаю, не стоит его наказывать за такие шалости. Хорошо?|Warte, Ann. Max ist ein Teenager und er ist nur neugierig. Weißt du, die verbotene Frucht ist die süßeste. Ich denke, du solltest ihn dafür nicht bestrafen, okay?
		mom.eric.fckv.3.next.2^										<i>далее</i>|<i>fortfahren</i>

	mom.eric.fckv.3.next.2@69@Ну, хорошо, Эрик. Если ты так считаешь... Но пусть он уйдёт, я не могу так...\n\n<color=lime><i><b>Внимание:</b> Получена новая «возможность»!</i></color>|Nun, in Ordnung, Eric. Wenn du das glaubst. Aber er sollte gehen, ich kann es nicht vor ihm tun.... \n\n<color=lime><i><b>Achtung:</b>Neue "Gelegenheit" ist vorhanden!</i></color>
		leave!add_eric.voy.stage_1!set_poss.control_1!lock_momroom_2^			Я уже ухожу, мам... Продолжайте!|Ich gehe, Mom.... fortfahren!

	mom.eric.fckv.5@68@e-Mom-eric-room-2-3@Макс? Опять подглядываешь?! Ну-ка бегом отсюда!|Max? Spionierst du schon wieder?! Verschwinde hier!
		mom.eric.fckv.5.next.1^										Я никому не мешаю же...|Ich bin nicht im Weg....
		leave!lock_momroom_2^										Я уже ухожу, мам... Извини...|Ich gehe, Mom.... Es tut mir leid....

	mom.eric.fckv.5.next.1@87@Ань, пусть лучше смотрит на нас, чем на непойми какие извращения в интернете, верно? Так, Макс, зайди сюда, поговорим...|Lass ihn, Ann, es ist besser, als Gott weiß was im Netz zu sehen. Komm her, Max, lass uns reden....
		mom.eric.fckv.5.next.2^										<i>войти в комнату</i>|<i>ins Zimmer gehen</i>

	mom.eric.fckv.5.next.2@73@e-Mom-eric-room-2-4@Эрик, но... он мой сын. Это неправильно, ты же понимаешь...|Aber Eric.... Er ist mein Sohn! Das ist so falsch....
		mom.eric.fckv.5.next.3^										<i>далее</i>|<i>fortfahren</i>

	mom.eric.fckv.5.next.3@86@Я думаю, что мы должны разрешить ему смотреть, если не будет мешать. Может быть, чему-то научится. Где-то ему же нужно учиться, пусть это будет таким образом... И Ань, не спорь со мной!|Ich denke, wir sollten ihm erlauben, zuzusehen, wenn es nicht stört. Vielleicht lernt er etwas. Und streite nicht mit mir, Ann!
		mom.eric.fckv.5.next.4^										<i>далее</i>|<i>fortfahren</i>

	mom.eric.fckv.5.next.4@69@Как скажешь, Эрик...|As you say, Eric...
		mom.eric.fckv.5.next.5^										<i>далее</i>|<i>fortfahren</i>

	mom.eric.fckv.5.next.5@87@Ну всё, Макс. Мы тут ещё побеседуем. А для тебя на сегодня хватит, иди. Да, потом ко мне подойди, мы с тобой тоже побеседуем кое о чём...|In Ordnung, Max. Ich rede mit deiner Mutter, aber du solltest jetzt gehen. Wir reden später....
		leave!set_eric.voy.stage_6!lock_momroom_2!set_eric.talk.moreplans_1^		Хорошо...|Schön

	mom.eric.door.fuck.voyeur.hard@120@e-Mom-eric-room-2-5@Вот ничего себе! Эрик совсем разошёлся... Кажется, мама и не пытается сопротивляться... Ой, она меня заметила! Интересно, что в её голове сейчас? Ну, кроме кляпа, конечно...|Wow! Eric wurde verrückt.... Sieht so aus, als würde Mom nicht widerstehen.... Mist, sie hat mich bemerkt! Ich frage mich, was jetzt in ihrem Kopf vorgeht. Nun, abgesehen von dem Ballknebel, das ist
		leave!max_talk.mom.abouthard_1!lock_momroom_2^					<i>уйти</i>|<i>verlassen</i>



# --- Мама и Эрик спят (00:00 - 05:00)|Eric und Ann schlafen.

	mom.eric.sleep@121@Кажется, все спят...|Sieht so aus, als ob alle schlafen....
		mom.eric.sleep.voyeur^						<i>подглядывать с улицы</i>|<i>von außen spionieren</i>
		poss.wallet=2&max.try.steal.wallet^			<i>тихо войти в ?омнату</i>|<i>ins Zimmer schleichen</i>
		poss.wallet=4&max.can.steal.wallet^			<i>тихо войти в комнату</i>|<i>ins Zimmer schleichen</i>
		leave!lock^									<i>уйти</i>|<i>verlassen</i>

	mom.eric.sleep.voyeur@120@e-Mom-eric-sleep-1@Кажется, они крепко спят... Голые и без одеяла! Да... хорошо, что такая жара и нет кондиционеров дома... Но нужно ухоить, вдруг кто-то заметит...|Es scheint, sie schlafen fest.... nackt und ohne Decken! Ich liebe dieses Klima und den Mangel an Klimaanlage. Ich sollte gehen, bevor mich jemand bemerkt.
		leave!lock^									<i>уйти</i>|<i>verlassen</i>



# --- Мама и Эрик в душе (06:00)|Eric and Ann in the shower, 06:00

	mom.eric.shower@121@Похоже, мама вместе с Эриком принимают душ... Или что они там ещё могут делать?|Sieht so aus, als würden Mom und Eric ein Bad nehmen.... oder doch?
		mom.eric.showe.voyeur^						<i>подглядывать с улицы</i>|<i>von außen spionieren</i>
		eric.voy.stage<6&mom.eric.showe.door^		<i>приоткрыть дверь</i>|<i>die Tür ein wenig öffnen</i>
		eric.voy.stage>5&mom.eric.showe.door.can^	<i>приоткрыть дверь</i>|<i>die Tür ein wenig öffnen</i>

		leave!lock^									<i>уйти</i>|<i>verlassen</i>

	mom.eric.showe.voyeur@120@e-Mom-eric-shower-1@Кажется, они так увлечены друг другом, что меня не заметят... Но может заметить кто-то другой. Так что, надо бы убираться отсюда...|Sie scheinen zu beschäftigt zu sein, um mich zu bemerken.... Aber ich werde vielleicht von jemand anderem erwischt, also sollte ich hier verschwinden.
