# --- Interrupt: Лиза возвращается из новой школы в первый раз|Lisa kehrt zum ersten Mal von der Schule zurück

		liza.talk.sg.1.maybe^					Ты знаешь... Может быть, я тебе и смогу помочь...|Weißt du, vielleicht kann ich dir helfen mit diesen....

	liza.talk.sg.1.so@40@Это же здорово! Точно... Ты уже неоднократно говорил, что тебя выгнали не за знания. Значит, ты мне поможешь, правда?|Das ist großartig! Du sagtest, du wurdest nicht wegen Unkenntnis ausgeschlossen. Also, wirst du mir helfen?
		liza.talk.sg.1.so.ok^					Конечно, сестрёнка!|Natürlich, Schwesterherz!
		liza.talk.sg.1.maybe^					Може? быть...|Vielleicht....
	liza.talk.sg.1.so.ok@48@Что? Вот просто так решил помогать и ничего не просить взамен? Правда?|Was? Du hast einfach beschlossen, mir zu helfen, ohne auch nur um eine Gegenleistung zu bitten?
		liza.talk.sg.1.maybe^					Ну может быть...|Nun ja....
		liza.talk.sg.1.so.ok.nothing^			Обещаю! Хочу только помогать и ничего взамен!|Ich verspreche es! Ich werde dir helfen, ohne dich um etwas zu bitten!

	liza.talk.sg.1.so.ok.nothing@43@Макс, я тебя обожаю! Спасибо! Сегодня мне помощь не нужна, а вот в следующий раз походи, когда делаю уроки, я найду тебе занятие!\n\n<color=lime><i><b>Внимание:</b> Ваши отношения улучшились</i></color>|Vielen Dank, Max! Ich brauche heute keine Hilfe, aber du kannst mich das nächste Mal fragen, wenn ich meine Hausaufgaben mache!\n\n<color=lime><i><b>Achtung:</b> deine Beziehung hat sich verbessert</i></color>
		leave!set_poss.sg_2!add_liza.mood_200!add_liza.rep_1!set_dcd.lizahelp_1!set_liza.hw.status_1^		Хорошо, Лиза!|Okay, Lisa!

	liza.talk.sg.1.maybe@46@Может быть? В смысле? Ты что-то хочешь за помощь?|Was meinst du damit? Willst du eine Gegenleistung?
		liza.talk.sg.1.maybe.why^										Ну сама подумай, зачем мне тратить время просто так?|Denk darüber nach, warum sollte ich meine Zeit ohne Grund mit dir verbringen wollen?
		liza.talk.sg.1.maybe.why^										Может быть, попрошу что-то...|Ja, ich könnte dich um eine Gegenleistung bitten....
		liza.talk.sg.1.so.ok.nothing^									Да нет, конечно. Обещаю, что ничего не попрошу взамен!|Nein, natürlich nicht. Ich verlange keine Gegenleistung!

	liza.talk.sg.1.maybe.why@46@А я думала, что поможешь своей младшей сестрёнке избежать сурового наказания строгой мамы... А ты...|Ich hatte gehofft, du würdest deiner jüngeren Schwester helfen, damit sie nicht streng bestraft wird....
		liza.talk.sg.1.maybe.why.no^									Нет, Лиза. Ты мне - я тебе.|Nein, Lisa, dies für das.
		liza.talk.sg.1.so.ok.nothing^									А я пошутил. Обещаю, что ничего не попрошу взамен!|Ich mache nur Spaß. Ich verspreche, ich verlange keine Gegenleistung!

	liza.talk.sg.1.maybe.why.no@40@Ну ладно. И чего тебе нужно? Денег? У меня их нет. Я не зарабатываю... Да у меня ничего нет...|Schön, was willst du, Geld? Ich habe keine. Ich habe nichts, wirklich....
		liza.talk.sg.1.maybe.why.no.wrong^								Ты не права. У тебя есть кое-что, что мне нравится...|Nein, du hast etwas, das ich mag....

	liza.talk.sg.1.maybe.why.no.wrong@42@Ты на что-то намекаешь, Макс? Я не понимаю...|Wovon redest du, Max? Ich verstehe nicht.
		liza.talk.sg.1.maybe.why.no.wrong.tasks^						Я буду тебе помогать, если ты будешь выполнять мои определённые требования...|Ich werde dir helfen, wenn du etwas dafür tust.

	liza.talk.sg.1.maybe.why.no.wrong.tasks@40@Макс, говори конкретнее. О чём ты? Например?|Sei konkret, Max, was soll ich tun?
		liza.topless=0&liza.talk.sg.1.something^						Например, я попрошу тебя спать без твоих штанов, в трусиках...|Ich will, dass du ohne Hosen schläfst, nur in Unterwäsche.
		liza.topless>0&liza.talk.sg.1.somethingelse^					Например, я попрошу тебя о чём-то, что ты должна будешь сделать...|Ich könnte dich bitten, etwas für mich zu tun....

	liza.talk.sg.1.somethingelse@41@Нет, Макс. Кота в мешке мне не надо. Либо ты помогаешь просто так, либо я сама во всём разберусь и справлюсь без тебя...|Nein, Max, das ist immer noch zu vage. Entweder du hilfst mir, weil du ein guter Bruder bist, oder ich finde es selbst heraus.
		liza.talk.sg.1.so.ok.nothing^		Ну если вопрос так стоит, то конечно буду помогать просто так!|Nun, wenn du es so sagst, helfe ich dir kostenlos!

	liza.talk.sg.1.something@44@Фу, Макс! Ты извращенец! Зачем тебе это? Я же твоя сестра, забыл?|Ew, Max! Ich bin deine Schwester, warum solltest du das jemals wollen?
		count.liza.spanked=0&liza.talk.sg.1.something.think!set_liza.hw.status_2^			Ну, решай сама. Мама если отшлёпает, будет очень очень больно. А так ты ничего не теряешь...|Nun, es ist deine Entscheidung. Du wirst deine Entscheidung bereuen, wenn Mom dich das nächste Mal versohlt. Aber wenn du zustimmst, verlierst du nichts.
		count.liza.spanked>0&liza.talk.sg.1.something.think2!set_liza.hw.status_4^			Ну, решай сама. Тебя мама по джинсам отшлёпала, а представь как будет по голой заднице?|Nun, es ist deine Entscheidung. Hat es dir gefallen, wie Mom dich in Jeans versohlt hat? Jetzt stell dir vor, wie es sich ohne sie anfühlen wird.

	liza.talk.sg.1.something.think@42@Нет, Макс, забудь. Мне не нужна твоя помощь!|Nein, Max, vergiss es. Ich brauche deine Hilfe nicht.
		leave!set_poss.sg_3!add_liza.mood_-50!set_dcd.lizahelp_1^							Ну, посмотрим...|Wir werden sehen...

	liza.talk.sg.1.something.think2@49@Было больно... Ладно. Всё равно мне жарко в штанах спать. А ты, Макс, гад. Я думала, что мы друзья, а ты... ещё и извращенец...|Ja.... Schön. Meine Pyjamahose ist sowieso zu heiß. Du bist ein Idiot, Max. Ich dachte, wir wären Freunde und du.... Du bist auch noch ein Perverser....
		liza.talk.sg.1.something.think2.help!set_poss.sg_4!add_liza.mood_-100!set_dcd.lizahelp_1!set_liza.sleep.mode_1^		Но я буду тебе помогать с уроками!|Aber ich helfe dir bei deinen Hausaufgaben!

	liza.talk.sg.1.something.think2.help@40@Если не будешь помогать, то я маме всё расскажу и посмотрим, кого накажут. Всё, мы закончили.|Wenn du mir nicht hilfst, sage ich Mama und Wir werden sehen, wer bestraft wird.
		leave!art_z-liza-sleep-night-1_e-liza-pn-1_-1!art_z-liza-sleep-morning-1_e-liza-pn-2_-1^							Как скажешь...|Okay




# --- Повторный разговор с Лизой (после наказания) в случае, если она не согласилась на условия Макса в первый раз|wieder Hilfe anzubieten, nachdem Lisa bestraft wurde

	liza.talk.changemind.init@0@Ну как, ты передумала?|Also, hast du deine Meinung geändert?
	liza.talk.changemind@46@О чём?|Wegen Was?
		liza.talk.changemind.punish^						Как о чём? О нашем договоре. Ты мне - я тебе. Ну или мама будет тебя и дальше наказывать...|Ich spreche von unserem "dies für das" Gespräch. Willst du immer noch bestraft werden oder hast du deine Meinung geändert?

	liza.talk.changemind.punish@49@Ладно, я согласна. Очень больно было. Так чего ты хочешь?|Schön, ich stimme zu. Moms Strafen sind zu schmerzhaft. Was wolltest du noch mal?
		liza.talk.changemind.punish.panties^				Ну для начала я бы хотел, чтобы ты спала в трусиках только...|Ich will, daß du ohne deine Pyjamahose schläfst.

	liza.talk.changemind.punish.panties@46@Макс, я говорила, что ты извращенец?|Habe ich dir gesagt, dass du pervers bist, Max?
		liza.talk.changemind.punish.panties.yes^			Ага. Ну так как, ты согласна?|Ja, ich denke schon. Also, haben wir einen Deal?
		liza.talk.changemind.punish.panties.no^				Нет, не говорила... |Nein, hast du nicht.

	liza.talk.changemind.punish.panties.yes@49@Ну у меня не очень большой выбор... Да и жарко в штанах спать... Да, я согласна. Но ты будешь мне помогать с уроками!|Ich habe keine andere Wahl.... Und in Hosen zu schlafen ist sowieso zu heiß.... Ja, ich stimme zu. Aber von jetzt an wirst du mir bei den Hausaufgaben helfen!
		leave!art_z-liza-sleep-night-1_e-liza-pn-1_-1!art_z-liza-sleep-morning-1_e-liza-pn-2_-1!set_liza.hw.status_4!set_liza.sleep.mode_1!set_poss.sg_4^			Как скажешь...|Okay

	liza.talk.changemind.punish.panties.no@42@Ну так вот, скажу. Ты - извращенец. Я твоя сестра и требовать от меня такого... стыдно должно быть!|Nun, dann werde ich es tun. Du bist ein Perverser der Klasse A, Max. Ich bin deine Schwester, schämst du dich nicht, so etwas von mir zu verlangen?
		liza.talk.changemind.punish.panties.yes^			Допустим, мне стыдно. Так ты согласна?|Ja, sicher bin ich das. Also, haben wir einen Deal?



# --- Макс помогает Лизе с уроками|Max hilft Lisa bei den Hausaufgaben

	liza.hw.help.init@0@Помочь с уроками?|Brauchst du Hilfe bei deinen Hausaufgaben?
	liza.hw.help@40@Ну, если ты не занят и правда знаешь что-то по этой теме...|Wenn du nicht zu beschäftigt bist und das Thema kennst....
		liza.hw.help.see^						Ну, давай посмотрим...|Lass uns einen Blick darauf werfen.
		leave!set_dcd.lizahelp_1^				Хо?я, в другой раз...|Entschuldigung, ein anderes Mal

	liza.hw.help.see@41@e-maxliza-hw-1@Отлично. В общем, мне нужно сделать вот это, это и вот то. Поможешь?|Sicher. Ich muss dies, dies und das tun. Kannst du mir helfen?
		poss.sg=2&liza.hw.help.see.together!add_liza.inf_-5^				Без п?облем!|Kein Problem!
		poss.sg=2&liza.hw.help.see.setup!add_liza.inf_-5^					Конечно! <i>(с?елать ошибки)</i>|Sicher! <i>(Fehler machen)</i>
		poss.sg=3&liza.hw.help.see.setup!add_liza.inf_-5^					Конечно! <i>(сделать ошибки)</i>|Sicher! <i>(Fehler machen)</i>
		poss.sg=4&liza.hw.help.see.setup!add_liza.inf_-5^					Ага... <i>(сд?лать ошибки)</i>|Ja... <i>(Fehler machen)</i>
		poss.sg=4&liza.hw.help.see.alone!add_liza.inf_-10^					Давай всё сделаю сам! <i>(без ошибок)</i>|Ich werde alles selbst machen! <i>(ohne Fehler)</i>
