# --- 0.11: Диалог с Алисой насчёт того, что она решила делать с компроматом. Ключевой диалог, запускающий цепочку, открывающую контент 0.11

	11.aa.0.init@0@Так что ты решила насчёт того видео?|Also, hast du entschieden, was wir tun sollen?
	11.cc.16@152@b-ak-3@Сомневаюсь, что у меня есть конкуренты в этом деле. Тем более, он парень, что он понимает... Что? Алисик, ты уже кончаешь? Так быстро?!|I doubt I can have a competition in this field, especially from a guy... Are you already cumming, Alice!? Huh, he really is good...
		11.cc.17^		<i>продолжать</i>|<i>fortfahren</i>

	11.cc.17@25@b-ak-5@О да, Макс... так... Ты - лучший! Ох... как же хорошо...|Oh, yes, Max... you're... You're the best! Oh... It's incredible...
		11.cc.18^		<i>далее</i>|<i>fortfahren</i>

	11.cc.18@21@b-ak-2@Вот видишь, Кать, а я предупреждала. Макс очень способный... в некоторых делах. И сейчас ты должна от моего имени его отблагодарить...|Told you, Kate. Max is really good in some areas. And now you're going to thank him for me.
		11.cc.19^		Хм...|<i>fortfahren</i>

	11.cc.19@151@В каком смысле от твоего имени? Отблагодарить? Ну спасибо, Макс. Так?|Em... Thank you, Max.
		11.cc.20^		Ну да, ну да...|You're welcome

	11.cc.20@21@Нет, Катя, не так. Теперь вы оба должны раздеться. И ни слова, бегом!|No, that's not what I meant, Kate. Let's start with getting you out of those clothes.
		11.cc.21^		Что-то намечается...|This is gonna be good...

	11.cc.21@153@b-ak-14@Ну вот, мы разделись. Хотела поглазеть или что ты удумала? Если что, я не буду с ним трахаться. Ты же знаешь меня...|Ok, here I am. I hope you're not asking me to fuck him, you know I'm not going to do it.
		11.cc.22^		Так что дальше?|Yes, what's next?

	11.cc.22@22@А теперь, Кать, ты должна отсосать моему брату. Причём, очень постарайся. Я хочу, чтобы он остался очень доволен. Ты меня поняла? А теперь на колени! Быстро!|Now you're going to suck my brother's cock, Kate. And you better give your best. I'm going to be very disappointed if you won't make him happy. Now get on your knees.
		11.cc.23^		Ого...|Wow

	11.cc.23@151@b-ak-15@Алисик, но... Почему я должна сосать ему за то, что ты кончила? Да и зачем он нам нужен, мы и вдвоём отлично справлялись раньше!|But Alice... Why do I have to blow him, you're the one who had an orgasm... Why do we need him here at all, we were fine without him!
		11.cc.24^		<i>далее</i>|<i>fortfahren</i>

	11.cc.24@25@Кать, я тебя накажу, да так, что потом ходить не сможешь... Скажу это в последний раз: соси член моего брата. Быстро!|I'm going to punish you so much you won't be able to walk. For the last time, start sucking my brother's cock right now!
		11.cc.25^		Вау...|Wow...

	11.cc.25@33@b-ak-16@И постарайся. Если ему не понравится, то у нас с тобой будет особый разговор... Макс, а ты в конце честно скажешь, понравилось тебе или могло быть и лучше.|You better be good. If he won't like it, we're going to have a serious conversation... I want you to tell me how good her blowjob will be, Max, and be honest.
		11.cc.26^		Хорошо!|Okay

	11.cc.26@4@b-ak-17@<i>Ох... Вот теперь мне нравится эта перемена в Алисе... Заставила свою подружку мне отсасывать, да ещё и с контролем качества... Прикольно...</i>|<i>Why did I have any problems with Alice's change again? She's making her girlfriend to suck my cock, and I even get to judge in the end!</i>
		11.cc.27^		<i>далее</i>|<i>fortfahren</i>

	11.cc.27@3@b-ak-18@<i>А Катя и правда старается... И получается у неё это шикарно... Видимо, не только на игрушках тренировалась... Вот тебе и лесбиянка...</i>|<i>Looks like Kate is genuinely trying her best. And she's surprisingly good at this. She had to have some practice before, and not on some plastic either... So much for a lesbian...</i>
		11.cc.28^		<i>далее</i>|<i>fortfahren</i>

	11.cc.28@22@b-ak-17@Макс, тебе нравится? Катя достаточно хорошо сосёт? Ага, вижу по твоему лицу всё... Ну вот если будет плохо себя вести, будет так отрабатывать, на тебе...|How do you like it, Max? Is Kate good enough? Yes, I see you're enjoying this. That's what you'll be doing as a punishment from now on, Kate.
