# --- Разговор с мамой по поводу инцидента в ванной|Gespräch über die Veranstaltung im Bad

# --- 0.4: Мама с Эриком смотрят телевизор, у Эрика не стоит|Eric und Ann schauen fern, Eric kann nicht hart werden.

	mom.eric.tvimp@120@Мама с Эриком смотрят эротику... Вот только сомневаюсь, что сегодня Эрику это поможет...|Eric und Mom schauen Erotik.... Ich bezweifle allerdings, dass es Eric helfen wird.
		leave!lock^										<i>уйти</i>|<i>verlassen</i>



# --- 0.4: Конец игры из-за влияния Эрика|Spiel vorbei von Eric's Einfluss

	specialevent.10@60@e-momabouts-1@Макс, пришло время поговорить. Надеюсь, ты не будешь возражать и отнесёшься ко всему с пониманием...|Max, wir müssen reden. Ich hoffe, Du nimmst das ernst....
		specialevent.10.step.2^										Блин, ну что такое?|Was jetzt?

	specialevent.10.step.2@62@Я поговорила с твоими сёстрами, Кирой и большинством голосов мы приняли решение, что в твоей жизни пора кое-что изменить.|Deine Schwestern, Kira und ich hatten ein Gespräch, und die Mehrheit hat beschlossen, dass du dein Leben ändern musst.
		specialevent.10.next.1^										Я не хочу ничего менять!|Ich will nichts ändern!

	specialevent.10.next.1@62@Макс! Ты целыми днями ничего не делаешь, кроме как подглядываешь за мной и сёстрами. Это больше продолжаться не может и сегодня ты едешь в специальный военный лагерь.|Max! Du verbringst Tage damit, mich und deine Schwestern auszuspionieren. Das kann nicht so weitergehen und heute gehst du in ein spezielles Militärlager.
		specialevent.10.next.2a^									Что? Нет, ты не можешь!|Was? Nein, kannst du nicht!
		specialevent.10.next.2b^									Это всё Эрик!|Hat Eric dich dazu angestiftet?

	specialevent.10.next.2a@63@Ещё как могу, Макс. Более того, я уже договорилась, а Эрик оплатил всё время твоего обучения в лагере.|Doch, das kann ich, Max. Außerdem habe ich schon alles arrangiert, und Eric hat für die gesamte Zeit deiner Ausbildung im Camp bezahlt.
		specialevent.10.next.2b^									Так и знал, что в этом Эрик виноват!|Ich wusste, dass er es war!

	specialevent.10.next.2b@64@Причём тут Эрик? Речь о тебе и о твоём поведении! Всё уже решено, собирай свои вещи.|Es geht nicht um Eric, es geht um dich und dein Verhalten! Alles ist schon entschieden, pack deinen Koffer.
		last.chance=0&specialevent.10.next.last^					Мам! Дай мне последний шанс!|Mom! Gib mir eine letzte Chance!
		last.chance=1&specialevent.10.next.try^						Мам! Дай мне последний шанс!|Mom! Gib mir eine letzte Chance!
		last.chance>1&specialevent.10.next.end^						Мам! Дай мне последний шанс!|Mom! Gib mir eine letzte Chance!

	specialevent.10.next.last@62@О каком последнем шансе может быть речь? Я тебя предупреждала, что такое поведение недопустимо. Кроме того, ты ничего не делаешь, чтобы получить образование!|Von welcher Chance redest Du? Ich habe Dich gewarnt, dass ein solches Verhalten inakzeptabel ist. Außerdem tunst Du nichts, um eine Ausbildung zu bekommen!
		specialevent.10.next.last.me^								Значит, вот так избавишься от своего сына...|Also wirst du einfach deinen Sohn los?

	specialevent.10.next.last.me@69@Макс... Но всё же решено. Хотя, если ты обещаешь исправиться, то так уж и быть, я дам тебе последний шанс...|Max.... alles ist schon arrangiert. Wenn du versprichst, gut zu sein, dann gebe ich dir eine letzte Chance....
		specialevent.10.next.last.me.promice^						Обещаю, мам!|Ich verspreche es, Mom!

	specialevent.10.next.last.me.promice@62@Ну, посмотрим на твоё поведение. Но учти, я в любой момент могу передумать. Так что, постарайся как следует.|Okay, wir sehen uns dein Verhalten an. Aber denke daran, ich kann meine Meinung jederzeit ändern. Also versuche lieber alles richtig zu machen.
		breakfast.default!add_last.chance_1!add_mom.inf_-10!add_alisa.inf_-10!add_liza.inf_-10!add_kira.inf_-10!set_dcd.endgame_7^		Спасибо, мам!|Danke, Mom!

	specialevent.10.next.try@62@Макс! Ты издеваешься? Я тебе уже давала последний шанс и ты обещал, что возьмёшься за ум и что-то сделаешь!|Max! Machst du Witze? Ich habe dir bereits deine letzte Chance gegeben und du hast es versaut!
		specialevent.10.next.try.eric^								Это всё Эрик тебя настраивает против меня!|Das ist Eric, der dich gegen mich aufbringt!
		random.luck.50=1&specialevent.10.next.try.ok^				Ну мам, ну самый самый самый последний шанс... [skill.luck_50]|Mom, bitte, gib mir noch eine Chance.... [skill.luck_50]
		random.luck.50=0&specialevent.10.next.try.no^				Ну мам, ну самый самый самый последний шанс... [skill.luck_50]|Mom, bitte, gib mir noch eine Chance.... [skill.luck_50]

	specialevent.10.next.try.eric@63@Всё, Макс. Не хочу ничего больше об этом слышать. Идти собирай свои вещи. На этом всё!|Nein, Max. Ich will es nicht hören. Geh und pack deine Sachen. Dieses Gespräch ist beendet!
		endgame.1^													Ну мам...|Aber määähhh....!

	specialevent.10.next.try.ok@73@<color=lime><i>Сегодня вам повезло!</i></color>\nТы знаешь, Макс... Я могу допустить, что против тебя просто так всё сложилось и ты не виноват, однако, очень в этом сомневаюсь. Но самый самый последний шанс, всё-таки, тебе дам...|<color=lime><i>Du hast Glück heute!</i></color>\n Weißt du, Max.... Es besteht die Möglichkeit, dass alles nur ein paar schlechte Entscheidungen getroffen hat, und es ist nicht deine Schuld. Aber ich gebe dir die allerletzte Chance....
		breakfast.default!add_last.chance_1!add_mom.inf_-10!add_alisa.inf_-10!add_liza.inf_-10!add_kira.inf_-10!set_dcd.endgame_7^		Спасибо, мам!|Danke, Mom!

	specialevent.10.next.try.no@64@<color=orange><i>Удача отвернулась от вас...</i></color>\nВсё, Макс. Никаких вторых последних шансов. Хватит с меня. Иди собирай свои вещи. На этом всё.|<color=orange><i>Das Glück hat dich verlassen....</i></color>\nNein, Max. Keine letzten Chancen mehr für dich. Ich habe es satt. Geh und pack deine Sachen. Dieses Gespräch ist beendet.
		endgame.1^													Ну мам...|Aber määähhh....!

	specialevent.10.next.end@64@Макс! Ты издеваешься? Я тебе уже давала последний шанс и ты обещал, что возьмёшься за ум и что-то сделаешь! Всё. На этот раз точно всё. Иди собирай вещи.|Willst du mich verarschen, Max? Ich habe dir schon die letzte Chance gegeben, als du versprochen hast, dass du zur Vernunft kommst und etwas tust! Diesmal ist es vorbei. Geh und pack deine Sachen.
		endgame.1^													Ну мам...|Aber määähhh....!

	endgame.1@2@e-endgame-1@Вот так и закончилась моя история. Конечно, если бы не Эрик, всё было бы хорошо, но этот гад... Теперь ему ничто не помешает сделать с моей семьёй всё, что он задумал... Вот если бы я мог вернуться в прошлое...|Und das ist das Ende meiner Geschichte. Dieser verdammte Eric hat mir alles ruiniert. Jetzt kann er mit meiner Familie machen, was er will, und nichts steht ihm im Weg. Wenn ich nur zurückgehen könnte....
		loadlastsave^												<i>вернуться в прошлое</i>|<i>in die Vergangenheit zurückgehen</i>
