# --- 0.6: Первый визит Оливии и Алекса вместе, но не парой|lisa spricht Erste Olivia und Alex Besuch nach der Trennung

	06.tola.0@140@m-op-0@Приветик! Это мы. Думали, больше нас не увидите? А вот и нет!|Hallo, alle zusammen! Wir sind es. Dachtest du, du siehst uns nie wieder? Hier sind wir!
	06.oaloh.5a.1@4@t-ao-3@<i>Да, в этом мне повезло с девчонками... Обе обожают смотреть и доставлять мне удовольствие... А кое у кого ещё и получается это очень... хорошо... Да, Оливия, ты молодец... Ой, Лизе тоже хочется?</i>|<i>Ich kann mein Glück nicht glauben.... Beide Mädchen lieben es zu sehen und mir zu gefallen.... Und jemand macht es.... ausnahmsweise Na ja..... Gute Arbeit, Olivia.... Lisa will mitmachen?</i>
		06.oaloh.5a.2^	Лиза, может быть подойдёшь, если любопытно?|Wie wäre es, wenn du näher kommst, wenn du zusehen willst, Lisa?

	06.oaloh.5a.2@41@t-ao-4@Любопытно, конечно... Оливия это делает так... ловко... Не знаю, получится у меня также однажды или нет... Но думаю, что с вами я и не такому научусь...|Natürlich will ich. Olivia ist so gut darin.... Ich weiß nicht, ob ich jemals so gut sein werde.... Aber ich glaube, ich werde mit euch beiden alles Mögliche lernen können....
		06.oaloh.5a.3^	Ну а я бы тоже потренировался кое в чём...|Ich könnte jetzt auch eine Lektion in etwas nehmen.

	06.oaloh.5a.3@43@Я не против... У тебя это очень хорошо получается...|Es macht mir nichts aus, du bist wirklich gut darin....
		06.oaloh.5a.4^	Приступим...|Fangen wir an

	06.oaloh.5a.4@142@t-ao-12@Обожаю, когда ты ласкаешь свою сестрёнку... Жаль, что ты не можешь оттрахать её во все дыры... Хотя... кое-куда, всё-таки, можешь...|Ich liebe es, wenn du deine Schwester leckst. Schade, dass du sie nicht überall ficken kannst.... Obwohl.... Du kannst sie an einem Ort ficken....
		06.oaloh.5a.5^	<i>далее</i>|<i>fortfahren</i>

	06.oaloh.5a.5@41@t-ao-13@Если ты намекаешь на мою попку... То... Я пока пас... К тому же... его член меня просто разорвёт... Ты вот и сама не готова к такому, похоже...|Wenn du über meinen Arsch redest.... Ich.... passe.... Außerdem wird sein Riese mich in zwei Hälften teilen.... Du siehst auch nicht bereit aus, ihn in deinen Arsch zu nehmen....
		06.oaloh.5a.6^	<i>продолжить</i>|<i>fortfahren</i>

	06.oaloh.5a.6@142@t-ao-15@Ну да. Моя маленькая попка ещё не готова к таким экспериментам... Но я бы посмотрела, как Макс трахает тебя... Эх... мечты... Так, что тут у нас...|Ja, mein armer kleiner Arsch ist noch nicht bereit dafür.... Aber ich würde gerne sehen, wie er dich fickt....
		06.oaloh.5a.7^	<i>далее</i>|<i>fortfahren</i>

	06.oaloh.5a.7@41@t-ao-15@Макс... Ты просто... чудо... Ещё... ещё... Я... кон..чаю... Да... Макс...|Oh, Max.... Du bist so.... großartig.... Ja, ja....! Ich kom.... me....! Ja, Max....
		06.oaloh.5a.8^	<i>лечь на спину</i>|<i>hinlegen</i>

	06.oaloh.5a.8@142@t-ao-20@Тогда, моя очередь! Макс... Лиза... Кажется, все уже всё понимают без слов...|Ich bin dran! Max, Lisa.... sieht aus, als würden wir uns ohne Worte verstehen....
		06.oaloh.5a.9^	<i>далее</i>|<i>fortfahren</i>

	06.oaloh.5a.9@4@t-ao-22@<i>Как же Оливия хороша в сексе! Её бёдра так двигаются... Мне даже не нужно ничего делать... Только ловить кайф... Кажется, Лиза всё ещё возбуждена... Надо помочь ей пальчиками!</i>|<i>Olivia ist so gut.... Die Dinge, die sie mit ihren Hüften macht.... Ich muss gar nichts tun.... Einfach den Moment genießen.... Sieht aus, als wäre Lisa immer noch erregt.... Ich sollte ihr helfen....</i>
		06.oaloh.5a.10^	<i>помочь ей пальчиками</i>|<i>ihr mit den Fingern helfen</i>

	06.oaloh.5a.10@143@t-ao-21@Макс... Можешь кончать в меня... Я сегодня на таблетках и... сейчас я сама... кончу... да... так...|Du kannst reinspritzen, Max.... Ich nehme eine Pille.... Und ich bin auch nah dran.... ja....
		06.oaloh.5a.11^	<i>кончить в Оливию!</i>|<i>spritze in Olivia!</i>

	06.oaloh.5a.11@41@t-ao-11@Ох, Макс... Оливия... Вы меня и вымотали... Извините, что я выбываю, но валюсь с ног... Ещё и пальчиками Макс меня второй раз довёл... Ух... Разбалуете, привыкну к такому... Спокойной ночи!|Oh, Max.... Olivia.... du hast mich wirklich erschöpft, ich bin so müde.... Und Max gab mir einen weiteren Orgasmus mit seinen Fingern.... Du verwöhnst mich und ich gewöhne mich daran.... Gute Nacht.
		leave!lizanaked!set_dcd.oli_5!set_olihome_1!max_cam.6.grow_250!max_oco_6!sleep^	Да, мы тоже спать... Спокойной ночи, Лиза!|Ja, wir gehen auch ins Bett. Gute Nacht, Lisa


	06.oaloh.5b@142@t-ao-8@Отличная идея! Если бы ты это не предложил, я бы сама тебя оттрахала! Похоже, ей тоже очень нравится за нами смотреть...|Tolle Idee! Wenn du es nicht anbieten würdest, würde ich dich selbst ficken! Und ich denke, Lisa genießt es, uns zuzusehen....
		06.oaloh.5b.1^	Угу...|Ja

	06.oaloh.5b.1@143@t-ao-10@А ещё она ласкает себя, глядя на нас... Давай, Макс, быстрее... Я хочу, чтобы она видела, что ты можешь также и и её оттрахать, если она захочет... Пусть она захочет!|Sie berührt sich, während sie uns beobachtet.... Schneller, Max.... Sie soll sehen, wie du sie ficken könntest, wenn sie will.... Ich will, dass sie dich will!
		06.oaloh.5b.2^	Конечно!|Sicher

	06.oaloh.5b.2@142@А пойдём на её кровать! Так ты сможешь и её ласкать при этом...|Gehen wir in ihr Bett! Du wirst sie auch erfreuen können....
		06.oaloh.5b.3^	Пойдём...|Lass uns

	06.oaloh.5b.3@143@t-ao-20@Ой, Лиза... Ты такая помощница... Макс, помогай сестрёнке пальчиками!|Oh, Lisa, du bist so eine große Hilfe.... Wie wär's, wenn du deiner Schwester hilfst, Max?
		06.oaloh.5b.4^	Без проблем!|kein Problem

	06.oaloh.5b.4@4@t-ao-21@<i>Оливия бесподобна! И так заведена... Кажется, ещё чуть-чуть и все кончат одновременно!</i>|<i>Olivia ist unglaublich! Und sie ist so geil! Sieht so aus, als würden wir alle zusammen kommen!</i>
		06.oaloh.5b.5^	<i>далее</i>|<i>fortfahren</i>

	06.oaloh.5b.5@41@t-ao-22@Ой... Макс... твои пальчики... Я не могу больше сдерживаться... Как ты это делаешь... Ай... да...|Oh, Max, deine Finger.... Ich kann nicht mehr warten.... Oh, ja....!
		06.oaloh.5b.6^	<i>далее</i>|<i>fortfahren</i>

	06.oaloh.5b.6@142@t-ao-21@Макс... Раз ты у нас такой фокусник, что довёл двух девчонок до оргазма, то тебе полагается награда! Да, Лиза?|Nun, Max, da du so gut bist, dass du uns beiden Orgasmen gegeben hast, verdienst du eine Belohnung. Was meinst du, Lisa?
		06.oaloh.5b.7^	Интересно, какая?|Ich frage mich, was ich bekomme.

	06.oaloh.5b.7@143@t-ao-19@А вот ложись и всё узнаешь...|Leg dich hin und du wirst sehen....
		06.oaloh.5b.8^	<i>далее</i>|<i>fortfahren</i>

	06.oaloh.5b.8@4@t-ao-18@<i>Ох, девчонки обе стараются, дак так, что сдерживаться уже нет сил... Интересно, в чей ротик сегодня кончить? Вот это выбор!</i>|<i>Die Mädchen geben sich heute wirklich Mühe, ich kann nicht mehr warten.... Welchen Mund sollte ich heute füllen? Entscheidungen, Entscheidungen....</i>
		06.oaloh.5b.9a^	<i>кончить в ротик Лизе</i>|<i>spritze in Lisa's Mund</i>
		06.oaloh.5b.9b^	<i>кончить в ротик Оливии</i>|<i>spritze in Olivia's Mund</i>

	06.oaloh.5b.9b@3@t-ao-19@<i>У Оливии бездонный ротик... Кажется, она никогда полностью сразу всё не глотает. Видимо, хочет поделиться с сестрёнкой... Обожаю их!</i>|<i>Olivia ist erstaunlich.... Ich glaube nicht, dass sie jemals alles auf einmal verschluckt hat, sie will immer teilen.... Ich liebe sie!</i>
		06.oaloh.5b.10^	<i>далее</i>|<i>fortfahren</i>

	06.oaloh.5b.9a@142@t-ao-18@Вот это сюрприз! Лиза, только сразу всё не глотай, оставь и мне немного... Я тоже хочу!|Nun, das ist eine Überraschung! Schluck nicht alles runter, Lisa, lass mir was übrig....
		06.oaloh.5b.10^	<i>далее</i>|<i>fortfahren</i>

	06.oaloh.5b.10@4@t-ao-17@<i>Это самый пикантный момент... Как же обожаю, когда они становятся настолько близки... Кажется, Лиза скоро будет не прочь и с Оливией устроить что-то такое... А говорила, не по девочкам... посмотрим... ух!</i>|<i>Das ist die beste.... Ich liebe es, wenn sie so nah sind.... Ich denke, Lisa wird nicht dagegen sein, bald etwas mit Olivia zu machen.... Und sie sagte, sie steht nicht so oft auf Mädchen.... Wir werden sehen....</i>
		06.oaloh.5b.11^	<i>далее</i>|<i>fortfahren</i>

	06.oaloh.5b.11@43@t-ao-11@Ну всё, вы меня сегодня вымотали ещё больше, чем обычно... И этот вкус... буду засыпать с ним на губах... Всем спокойной ночи и спасибо за отличный вечер!|Okay, heute bin ich noch müder als sonst.... Und dieser Geschmack.... Ich werde schlafen, wenn es in meinem Mund verweilt.... Gute Nacht, an alle und vielen Dank für den tollen Abend!
